#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

###########Rules###########
RULE_AMERICAN_LANDMARKS;American Landmarks;;;;;;;;;;;;;x
RULE_LANDMARKS_ON_DESC;Incredible natural formations, legendary monuments, and other unique locations will be noted and described in certain counties.;;;;;;;;;;;;;x
RULE_LANDMARKS_OFF_DESC;Landmarks will not be described. (Great Works will still be present, unless disabled using another game rule.);;;;;;;;;;;;;x
RULE_REDCOAT_INVASION;Redcoat Invasion;;;;;;;;;;;;;x
RULE_REDCOAT_INVASION_HISTORICAL_DESC;The Redcoat Dominion will invade the East Coast between the years of 2815 and 2840.;;;;;;;;;;;;;x
RULE_REDCOAT_INVASION_RANDOM_DESC;The Redcoat Dominion will invade at a random date, though at the earliest 50 years after the game is started.;;;;;;;;;;;;;x
RULE_REDCOAT_INVASION_OFF_DESC;The Redcoat Dominion will not invade.;;;;;;;;;;;;;x
RULE_BRAZIL_INVASION;Brazilian Invasion;;;;;;;;;;;;;x
RULE_BRAZIL_INVASION_HISTORICAL_DESC;The Brazilian Empire will invade South America between the years of 2850 and 2875.;;;;;;;;;;;;;x
RULE_BRAZIL_INVASION_RANDOM_DESC;The Brazilian Empire will invade at a random date, though at the earliest 50 years after the game is started.;;;;;;;;;;;;;x
RULE_BRAZIL_INVASION_OFF_DESC;The Brazilian Empire will not invade.;;;;;;;;;;;;;x
RULE_COLONISATION_INVASIONS;Colonization Invasions;;;;;;;;;;;;;x
RULE_COLONISATION_INVASIONS_HISTORICAL_DESC;The Edokko and Novorusskiy will attempt to colonize the Pacific coast between the years of 2740 and 3053.;;;;;;;;;;;;;x
RULE_COLONISATION_INVASIONS_RANDOM_DESC;The Edokko and Novorusskiy will arrive at a random date, though at the earliest 50 years after the game is started.;;;;;;;;;;;;;x
RULE_COLONISATION_INVASIONS_OFF_DESC;The Edokko and Novorusskiy will not attempt to colonize the Americas.;;;;;;;;;;;;;x
RULE_GROUP_ATE;After the End;;;;;;;;;;;;;x
RULE_EMPIRE_DECISIONS;Extra Empires;;;;;;;;;;;;;x
RULE_EMPIRES_ON_DESC;Characters will be allowed to form unique empires, such as the Empire of America, through special decisions.;;;;;;;;;;;;;x
RULE_EMPIRES_OFF_DESC;Characters will not be allowed to form unique empires through special decisions.;;;;;;;;;;;;;x
RULE_CULTURAL_EMPIRES;Cultural Empires;;;;;;;;;;;;;x
RULE_CULTURAL_ON_DESC;Characters will be able to form titular empires based on their culture. These empires will collapse if they lose too much territory.;;;;;;;;;;;;;x
RULE_CULTURAL_OFF_DESC;Characters will not be able to form titular empires based on their culture.;;;;;;;;;;;;;x
RULE_CARIBBEAN_COLLAPSE;Caribbean Collapse;;;;;;;;;;;;;x
RULE_CARIBBEAN_ON_DESC;The Caribbean Empire can suddenly collapse after the year 2710 if it loses too much land.;;;;;;;;;;;;;x
RULE_CARIBBEAN_OFF_DESC;The Caribbean Empire will not suddenly collapse.;;;;;;;;;;;;;x
RULE_NORTHERN_CRUSADE;§BHoly Fury:§! Lacustrine Crusade;;;;;;;;;;;;;x
RULE_NORTHERN_CRUSADE_ON;The Lacustrine Crusade is enabled.;;;;;;;;;;;;;x
RULE_NORTHERN_CRUSADE_OFF;The Lacustrine Crusade is disabled.;;;;;;;;;;;;;x
RULE_RENOVATOR_INVASION;The Great Cowboy Conquerors;;;;;;;;;;;;;x
RULE_RENOVATOR_INVASION_HISTORICAL_DESC;The Renovator will invade Central America in 2750, and the Viceroy will target Florida around 2800.;;;;;;;;;;;;;x
RULE_RENOVATOR_INVASION_RANDOM_DESC;The Renovator and Viceroy will begin conquering at a random date, though at the earliest 40 years after the start of the game.;;;;;;;;;;;;;x
RULE_RENOVATOR_INVASION_OFF_DESC;The Renovator and Viceroy will not spread their faiths at the sword.;;;;;;;;;;;;;x
