#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
LOADING_TIP_0;A 'demesne' is the collection of Castles, Cities and Temples held by one person.;Un 'domaine' est l'ensemble des Châteaux, Cités et Temples possédé par une personne.;Ein 'Herrschaftsgebiet' ist die Ansammlung von Burgen, Städten und Tempeln, die einer Person gehören.;;Una «heredad» es un conjunto de Castillos, Villas y Templos pertenecientes a una persona.;;;;;;;;;x
LOADING_TIP_1;Seniority succession is a great way to reunite your family lands but for some reason tends to lower your life expectancy.;La succession basée sur l'Ancienneté permet de réunir les terres familiales, mais tend à réduire votre espérance de vie.;Das Alter-Nachfolgegesetz ist eine tolle Möglichkeit, die Ländereien Eurer Familie zusammenzufügen, reduziert merkwürdigerweise aber Eure Lebenserwartung.;;La sucesión por veteranía es gran forma de reunir las tierras de tu familia pero, por algún motivo, tu esperanza de vida baja.;;;;;;;;;x
LOADING_TIP_2;Right-clicking portraits brings up a quick menu.;Faites un clic droit sur les portraits pour afficher un menu rapide.;Rechtsklicks auf Portraits rufen ein Schnellmenü auf.;;Al hacer clic en los retratos con el botón derecho del ratón se abre un menú rápido.;;;;;;;;;x
LOADING_TIP_3;Right-click on a holding in your realm to access a quick menu for it.;Faites un clic droit de la souris sur les avoirs de votre Royaume pour accéder au menu rapide.;Rechtsklickt auf einen Bestand in Eurem Reich, um ein Schnellmenü dazu aufzurufen. ;;Haz clic con el botón derecho en una propiedad de tu reino para acceder a su menú rápido.;;;;;;;;;x
LOADING_TIP_5;Illegitimate bastards cannot pass your dynasty on, but they may pass on a Bloodline.;Les enfants illégitimes n’appartiennent pas à votre dynastie.;Uneheliche Bastarde können Eure Dynastie nicht weiterführen.;;Los bastardos ilegítimos no pueden continuar con tu dinastía.;;;;;;;;;x
LOADING_TIP_6;The second and third in line to the throne are called pretenders, and are likely to cause trouble.;Le deuxième et le troisième de la lignée sont des prétendants et peuvent poser problèmes.;Die Nummer zwei und drei in der Erbfolge werden Thronanwärter genannt und sorgen sehr wahrscheinlich für Schwierigkeiten.;;El segundo y el tercero en la línea de sucesión son los aspirantes al trono, y suelen causar problemas.;;;;;;;;;x
LOADING_TIP_7;Vassals who dislike you will not provide you with their full troop levies.;À défaut de vous apprécier, les vassaux ne mettront pas à votre disposition l’intégralité de leurs troupes.;Vasallen, die Euch nicht mögen, werden Euch nicht ihre vollen Wehrpflichtigenkontingente zur Verfügung stellen.;;Los vasallos a los que no gustes se negarán a darte todas sus levas.;;;;;;;;;x
LOADING_TIP_8;Crown Laws affect even those rulers who are not de facto part of the kingdom.;Les lois de la Couronne affectent également les souverains qui ne font pas, de facto, partie du Royaume.;Krongesetze betreffen jene Herrscher, die de facto nicht zum Reich gehören.;;Las leyes de la Corona afectan a aquellos soberanos que no son parte de facto del reino.;;;;;;;;;x
LOADING_TIP_9;The Pope can grant powerful boons to good Catholics.;Le Pape peut accorder de puissants avantages aux bons catholiques.;Der Papst kann guten Katholiken enorme Vorteile verschaffen machen.;;El Papa puede conceder grandes favores a los buenos católicos.;;;;;;;;;x
LOADING_TIP_10;Mercenaries are professional soldiers and can win wars for you - just make sure they get paid!;Les mercenaires sont des soldats professionnels capables de remporter des guerres pour votre compte. Mais n’oubliez pas de les payer !;Söldner sind Berufssoldaten und können Kriege für Euch gewinnen - so lange Ihr sie anständig bezahlt!;;Los mercenarios son soldados profesionales, pueden ganar guerras por ti. ¡Solo tienes que asegurarte de que paguen!;;;;;;;;;x
LOADING_TIP_11;Holy orders will only fight against heretics and infidels. Be careful when using them in battle!;Les ordres saints ne combattront que les hérétiques et les infideles. Soyez donc vigilant lorsque vous les utilisez au cours de batailles !  ;Heilige Orden kämpfen nur gegen Ketzer und Ungläubige. Seid vorsichtig, wenn Ihr sie im Kampf einsetzt!;;Las órdenes sagradas sólo lucharán contra los herejes e infieles. !Ten cuidado al usarlas en batalla!;;;;;;;;;x
