#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
freebooter;Freebooter;Freebooter;Freebooter;;Freebooter;;;;;;;;;x
freebooter_desc;This character has earned a reputation as a fearsome freebooter.;This character has earned a reputation as a fearsome freebooter.;This character has earned a reputation as a fearsome freebooter.;;This character has earned a reputation as a fearsome freebooter.;;;;;;;;;x
buccaneer;Buccaneer;Buccaneer;Buccaneer;;Buccaneer;;;;;;;;;x
buccaneer_desc;This character is widely known as a mighty Buccaneer, a pirate few have fought and lived.;This character is widely known as a mighty Buccaneer, a pirate few have fought and lived.;This character is widely known as a mighty Buccaneer, a pirate few have fought and lived.;;This character is widely known as a mighty Buccaneer, a pirate few have fought and lived.;;;;;;;;;x
corsair;Corsair;Corsair;Corsair;;Corsair;;;;;;;;;x
corsair_desc;This character is known and feared far and wide as the scourge of the seven seas. Wherever salt water can be found, the Corsair strikes fear into the hearts of men.;This character is known and feared far and wide as the scourge of the seven seas. Wherever salt water can be found, the Corsair strikes fear into the hearts of men.;This character is known and feared far and wide as the scourge of the seven seas. Wherever salt water can be found, the Corsair strikes fear into the hearts of men.;;This character is known and feared far and wide as the scourge of the seven seas. Wherever salt water can be found, the Corsair strikes fear into the hearts of men.;;;;;;;;;x
EVTDESC_pirate_3;The pillaging and looting undertaken in your name has earned you a reputation as a fearsome pirate. All along the coasts, the sight of your flag strikes fear into the hearts of men.;The pillaging and looting undertaken in your name has earned you a reputation as a fearsome pirate. All along the coasts, a mere rumor of your fleet's approach brings panic to towns and sailors.;The pillaging and looting undertaken in your name has earned you a reputation as a fearsome pirate. All along the coasts, the sight of your flag strikes fear into the hearts of men.;;The pillaging and looting undertaken in your name has earned you a reputation as a fearsome pirate. All along the coasts, the sight of your flag strikes fear into the hearts of men.;;;;;;;;;x
EVTOPTA_pirate_3;I have only begun to fight!;I have only begun to fight!;I have only begun to fight!;;I have only begun to fight!;;;;;;;;;x
EVTDESC_pirate_4;Few alive have a more fearsome reputation than you. Where many pirates merely raid you destroy entire towns and castles, leaving none alive besides one to spread the tale of [Root.GetFirstName] the Buccaneer.;Peu de personnes en vie sont plus redoutées que vous. Alors que de nombreux Vikings ne font que piller, vous détruisez cités et châteaux, en ne laissant personne en réchapper, sauf une personne afin qu'elle répande l'histoire de [Root.GetFirstName] le Ravageur;Nur wenige gelten heutzutage als noch furchterregender als Ihr. Gewöhnliche Wikinger mögen plündern, aber Ihr macht ganze Städte und Burgen dem Erdboden gleich. Ihr lasst immer nur einen Einzigen am Leben, um die Legende von Verwüster(in) [Root.GetFirstName] weiter zu verbreiten.;;Pocos seres vivos tienen una reputación más temible que la tuya. Cuando muchos vikingos simplemente asaltan, tú destruyes pueblos y castillos enteros, sin dejar a nadie vivo salvo a uno solo para que cuente la historia de [Root.GetFirstName] el Asaltante.;;;;;;;;;x
EVTOPTA_pirate_4;Yarr, I like the sound of that!;Quel plaisir d'entendre ça !;Das hört sich gut an!;;¡Me gusta como suena!;;;;;;;;;x
EVTDESC_pirate_5;You are known as [GetFirstName] the Corsair, for you can take whatever you want anywhere that the wild waves beat on rock or sand. No [Root.GetManWoman] sails a ship better, no [Root.GetManWoman] fights more fiercely, no [Root.GetManWoman] is held in more fear. The mere sight of your flag on the horizon brings men to despair - you are a pirate of legend.;Tout le monde vous connaît comme étant [GetFirstName] le Roi des mers, puisque vous pouvez prendre ce que vous voulez partout où frappent les vagues sauvages, que ce soient des rochers ou du sable. Aucun[Root.GetNoneE] [Root.GetManWoman] ne gouverne mieux un navire, aucun[Root.GetNoneE] [Root.GetManWoman] ne combat avec plus d'acharnement, aucun[Root.GetNoneE] [Root.GetManWoman] ne plonge plus autrui dans la peur.;Ihr seid als Seekönig(in) [GetFirstName] bekannt, denn Ihr nehmt Euch einfach alles von überall, wo die Wellen gegen Felsen oder Strände schlagen. Niemand steuert ein Schiff geschickter, niemand kämpft erbitterter, niemand ist gefürchteter als Ihr.;;Se te conoce como [GetFirstName], el Rey del mar, ya que puedes llevar lo que desees allí donde las olas toquen roca o arena. No hay [Root.GetManWoman] que gobierne mejor un barco, [Root.GetManWoman] que luche con más ferocidad, ni [Root.GetManWoman] al que se tema más.;;;;;;;;;x
EVTOPTA_pirate_5;I am the Scourge of the Seven Seas!;I am the Scourge of the Seven Seas!;I am the Scourge of the Seven Seas!;;I am the Scourge of the Seven Seas!;;;;;;;;;x
string_corsair;Corsair;Corsair;Corsair;;Corsair;;;;;;;;;x
COMPL_PIRATE_adj;pirate;pirate;pirate;;pirate;;;;;;;;;x
