#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
###### Event/decision/modifier definitions;;;;;;;;;;;;;;x
###### Druidic rebirth;;;;;;;;;;;;;;x
reinstate_celtic_rites;Reinstate Celtic Rite;;;;;;;;;;;;;x
reinstate_celtic_rites_desc;With the help of our court wizard, we could reinstate much of the old Celtic ways.;;;;;;;;;;;;;x
invite_bard_to_court;Invite a Bard to Court;;;;;;;;;;;;;x
invite_bard_to_court_desc;We could patronize one of the many bards wondering the realms and have them serve in our court.;;;;;;;;;;;;;x
celtic_ways;Celtic Rites;;;;;;;;;;;;;x
celtic_ways_desc;This character has taken up ancient Celtic traditions.;;;;;;;;;;;;;x
EVTDESCancrel.0000;A faint whisper draws your attention and you find a haggard old man in a dark corner of your castle. Before you have a chance to throw him out, he explains that he is a wizard. He claims to be powerful in the ways of the old gods, and he has come to offer you his services.;;;;;;;;;;;;;x
EVTOPTAancrel.0000;A man should keep eyes on all matters.;;;;;;;;;;;;;x
EVTOPTBancrel.0000;Strange man, begone!;;;;;;;;;;;;;x
begone_sorcerer;You send the pagan away.;Vous faites sortir cette misérable créature.;Ihr schickt die elende Kreatur fort.;;Echas a la criatura miserable.;;;;;;;;;x
EVTDESCancrel.0001;The exploits of the heroes of old, of the High Kings of Albion, Eire and Alba, these stories bring up visions of a better time, when giants and fairies where friends, before man destroyed all in his folly. With the help of your court wizard, you have decided to adopt certain old Celtic rites.;;;;;;;;;;;;;x
EVTOPTAancrel.0001;The spirits of the land must be appeased;;;;;;;;;;;;;x
adopt_celtic_rites;You re-institute old pagan traditions\n;;;;;;;;;;;;;x
EVTDESCancrel.0002;Revolted by the resurgence of old practices in your lands, a priest has come to your court, asking you to reform your ways.;;;;;;;;;;;;;x
EVTOPTAancrel.0002;Why limit myself to one God?;;;;;;;;;;;;;x
adopt_druidism;You become a Celtic pagan\n;;;;;;;;;;;;;x
EVTOPTBancrel.0002;The Old Ways are barbarous, the power of God conquers all.;;;;;;;;;;;;;x
EVTDESCancrel.0003;Your liege has started to follow the teachings of an unwashed pagan wizard and is reinstating old practices, as a Celt, you find these ideas somewhat interesting...;;;;;;;;;;;;;x
EVTOPTAancrel.0003;The spirits of the land must be appeased;;;;;;;;;;;;;x
EVTOPTBancrel.0003;He is insane!;;;;;;;;;;;;;x
EVTDESCancrel.0004;Your vassal, [From.GetTitledFirstName], has adopted the Celtic traditions you have instituted;;;;;;;;;;;;;x
EVTOPTAancrel.0004;Good;;;;;;;;;;;;;x
EVTDESCancrel.0005;Your vassal, [From.GetTitledFirstName], has refused to adopt the Celtic traditions you have instituted;;;;;;;;;;;;;x
EVTOPTAancrel.0005;The Fool;;;;;;;;;;;;;x
EVTDESCancrel.0006;Toc. Toc. Toc. \n\nThe sound of knocking on the doors wakes you up, as your eyes get used to the obscurity, the soft moonlight dripping into the room shines on the sturdy oak doors.;;;;;;;;;;;;;x
EVTOPTAancrel.0006;They are just shadows;;;;;;;;;;;;;x
EVTOPTBancrel.0006;Leave me alone, demons!!!;;;;;;;;;;;;;x
EVTDESCancrel.0007;You crack open the door, peeking into the shrouds of darkness on the other side. At first you see nothing, but then, hearing a weary sound from below , you lower your eyes to the strangest of sights, a group of little men, with unusually long ears holding what seems to be an old, dying man on a flat shield. \n\nBewildered, your hear the nearest elf asking entrance for them and their king.;;;;;;;;;;;;;x
EVTOPTAancrel.0007;I.. Uh.. Sure, come in..;;;;;;;;;;;;;x
EVTOPTBancrel.0007;AHHHH! Begone little devils!;;;;;;;;;;;;;x
EVTDESCancrel.0008;The peculiar procession makes its way inside your chambers and the elves transfer their king on your bed. After a long, silent night, the old elf lets out a faint whisper and finally stiffens forevermore. \n\nStricken with grief, the elves ask for your guidance. ;;;;;;;;;;;;;x
EVTOPTAancrel.0008;Yes, I will be King of the Elves!;;;;;;;;;;;;;x
###### Head hunter ;;;;;;;;;;;;;;x
head1;Headhunter;;;;;;;;;;;;;x
head1_desc;The heads of many men and heroes are bloody tokens of this character's valor in combat.;;;;;;;;;;;;;x
head2;Living Legend;;;;;;;;;;;;;x
head2_desc;The life of this warrior is legendary, his exploits match those of the mythic warriors of old.;;;;;;;;;;;;;x
EVTDESCancrel.0010;Your fallen enemy lies before you, he was a valiant foe and his head will make a great trophy to prove your valor to the gods. Grasping your blade firmly, you severe his head from the rest of his body.;;;;;;;;;;;;;x
EVTOPTAancrel.0010;For [Root.Religion.GetRandomGodName]!;;;;;;;;;;;;;x
EVTDESCancrel.0011;Some men say that you are 9 feet tall, shoot lightning from your eyes and wield a sword the size of a tree, one story even says that you fart huge fireballs from your arse. Now these are just stories, but they pay witness to the legend your life has become.;;;;;;;;;;;;;x
EVTOPTAancrel.0011;My legend will be greater than any other mans!;;;;;;;;;;;;;x
###### Celtic divination ;;;;;;;;;;;;;;x
hold_divination;Hold a divination!;Tenir une divination;Haltet ein Blót ab;;Celebrar una Gran Mancha;;;;;;;;;x
