#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
coa_plain_celtic;Druidic Coat of Arms;Celtique;;;;;;;;;;;;x
religion_openly_celtic_or_reformed_tooltip;Openly Druidic or Reformed;;;;;;;;;;;;;x
true_religion_in_celtic_subgroup_tooltip;Truly practicing a Druidic religion;;;;;;;;;;;;;x
secret_religion_in_celtic_subgroup_tooltip;Secretly practicing a Druidic religion;;;;;;;;;;;;;x
###### Religion/titles definitions;;;;;;;;;;;;;x
HERO_RELIGION;Heroic Religion;Religion Héroique;;;;;;;;;;;;x
HERO_RELIGION_HOME_TERRITORY;Heroic Religion in Home Territory;Religion Héroique dans sa terre d'origine;;;;;;;;;;;;x
GOD_CERNNUNOS;Cernunnos;Cernunnos;Cernunnos;;Cernunnos;;;;;;;;;x
GOD_HORNED_ONE;The Horned One;Le Cornu;;;;;;;;;;;;x
GOD_ANGUS;Angus mac Og;Oengus;;;;;;;;;;;;x
GOD_DAGHDA;The Daghda;Le Dagda;;;;;;;;;;;;x
GOD_MANANNAN;Manannan mac Lir;Manannan Mac Lir;;;;;;;;;;;;x
GOD_LUGH;Lugh;Lugh;;;;;;;;;;;;x
GOD_MACHA;Macha;Macha;;;;;;;;;;;;x
GOD_DANA;Dannu;Dannu;;;;;;;;;;;;x
GOD_NUADA;Nuada;Nuada;;;;;;;;;;;;x
GOD_UNSEELIE;the Unseelie;;;;;;;;;;;;;x
THE_STONES;The Sacred Stones;Les pierre sacrées;;;;;;;;;;;;x
THE_BALLADS;The Ballads;Les ballades;;;;;;;;;;;;x
DRUID;Druid;Druide;;;;;;;;;;;;x
DRYAD;Dryad;Dryade;;;;;;;;;;;;x
THE_FOMORIANS;The Fomorians;Les Fomorians;;;;;;;;;;;;x
EVIL_BALOR;Balor;Balor;;;;;;;;;;;;x
EVIL_BRES;Bres;Bres;;;;;;;;;;;;x
GOD_CAILLEACH;Cailleach;Cailleach;;;;;;;;;;;;x
d_celtic_pagan_reformed;The Circle of Druids;Le Cercle des Druides;;;;;;;;;;;;x
d_celtic_pagan_reformed_adj;Druidic;Druidique;;;;;;;;;;;;x
ARCH_DRUID;Myrdynn;Myrdynn;;;;;;;;;;;;x
ARCH_DRUIDESS;Dryad;Dryad;;;;;;;;;;;;x
ARCH_DRUID_FOA;Eldest of the Druids;Druide ainé;;;;;;;;;;;;x
nick_pendragon;Mab Darogan;Mab Darogan;;;;;;;;;;;;x
nick_boudica;Buddug;Buddug;;;;;;;;;;;;x
##### Various localisation strings ;;;;;;;;;;;;;x
dryad;dryad;dryade;;;;;;;;;;;;x
druid_lowercase;druid;druide;;;;;;;;;;;;x
#####;;;;;;;;;;;;;x
temple_baron_celtic_pagan_reformed;Druid;Druide;;;;;;;;;;;;x
temple_baron_female_celtic_pagan_reformed;Druidess;Druidesse;;;;;;;;;;;;x
temple_barony_celtic_pagan_reformed;Sacred Grove;Bosquet sacré;;;;;;;;;;;;x
temple_barony_of_celtic_pagan_reformed;Sacred Grove of;Bosquet sacré de;;;;;;;;;;;;x
temple_count_celtic_pagan_reformed;Druid;Druide;;;;;;;;;;;;x
temple_count_female_celtic_pagan_reformed;Druidess;Druidesse;;;;;;;;;;;;x
temple_county_celtic_pagan_reformed;Temple;Temple;;;;;;;;;;;;x
temple_county_of_celtic_pagan_reformed;Temple of;Temple de;;;;;;;;;;;;x
temple_duke_celtic_pagan_reformed;Head Druid;Druide supérieur;;;;;;;;;;;;x
temple_duke_female_celtic_pagan_reformed;Head Druidess;Druidesse Supérieur;;;;;;;;;;;;x
temple_duchy_celtic_pagan_reformed;Tribe;Tribu;;;;;;;;;;;;x
temple_duchy_of_celtic_pagan_reformed;Tribe of;Tribu de;Stamm der;;Tribu de;;;;;;;;;x
temple_king_celtic_pagan_reformed;Archdruid;Archidruide;;;;;;;;;;;;x
temple_king_female_celtic_pagan_reformed;Archdruidess;Archidruidesse;;;;;;;;;;;;x
temple_kingdom_celtic_pagan_reformed;Federation;Fédération;;;;;;;;;;;;x
temple_kingdom_of_celtic_pagan_reformed;Federation of;Fédération de;;;;;;;;;;;;x
temple_emperor_celtic_pagan_reformed;Myrdynn;Myrdynn;;;;;;;;;;;;x
temple_empire_celtic_pagan_reformed;Nation;Peuple;;;;;;;;;;;;x
temple_empire_of_celtic_pagan_reformed;Nation of;Peuple de;;;;;;;;;;;;x
#;;;;;;;;;;;;;x
job_spiritual_celtic_pagan;Seer;Voyant;Seher;;Vidente;;;;;;;;;x
city_job_spiritual_celtic_pagan;Seer;Voyant;Seher;;Vidente;;;;;;;;;x
tribal_job_spiritual_celtic_pagan;Seer;Voyant;Seher;;Vidente;;;;;;;;;x
nomad_job_spiritual_celtic_pagan;Seer;Voyant;Seher;;Vidente;;;;;;;;;x
#;;;;;;;;;;;;;x
job_spiritual_celtic_pagan_reformed;Seer;Voyant;Seher;;Vidente;;;;;;;;;x
city_job_spiritual_celtic_pagan_reformed;Seer;Voyant;Seher;;Vidente;;;;;;;;;x
tribal_job_spiritual_celtic_pagan_reformed;Seer;Voyant;Seher;;Vidente;;;;;;;;;x
nomad_job_spiritual_celtic_pagan_reformed;Seer;Voyant;Seher;;Vidente;;;;;;;;;x
#;;;;;;;;;;;;;x
temple_baron_celtic_pagan;Druid;Druide;;;;;;;;;;;;x
temple_baron_female_celtic_pagan;Druidess;Druidesse;;;;;;;;;;;;x
temple_barony_celtic_pagan;Sacred Grove;Bosquet sacré;;;;;;;;;;;;x
temple_barony_of_celtic_pagan;Sacred Grove of;Bosquet sacré de;;;;;;;;;;;;x
temple_count_celtic_pagan;Druid;Druide;;;;;;;;;;;;x
temple_count_female_celtic_pagan;Druidess;Druidesse;;;;;;;;;;;;x
temple_county_celtic_pagan;Temple;Temple;;;;;;;;;;;;x
temple_county_of_celtic_pagan;Temple of;Temple de;;;;;;;;;;;;x
temple_duke_celtic_pagan;Head Druid;Druide supérieur;;;;;;;;;;;;x
temple_duke_female_celtic_pagan;Head Druidess;Druidesse Supérieur;;;;;;;;;;;;x
temple_duchy_celtic_pagan;Tribe;Tribu;;;;;;;;;;;;x
temple_duchy_of_celtic_pagan;Tribe of;Tribu de;Stamm der;;Tribu de;;;;;;;;;x
temple_king_celtic_pagan;Archdruid;Archidruide;;;;;;;;;;;;x
temple_king_female_celtic_pagan;Archdruidess;Archidruidesse;;;;;;;;;;;;x
#;;;;;;;;;;;;;x
druid;Druid;;;;;;;;;;;;;x
druid_desc;The Druid's knowledge of the ancient songs and of sacred traditions is great and their power among believers is without equal. They are responsible for organising worship and sacrifices, divination, and judicial procedure in Druidic society. In exchange for this knowledge and power, they give up all rights to inherit feudal lands.;;;;;;;;;;;;;x
bad_druid;Wizard;;;;;;;;;;;;;x
bad_druid_desc;This Druid has decided to use the ancient secrets of the Druid for their own personal gain, such sacrilegious behavior is unfitting of a Druid.;;;;;;;;;;;;;x
