# EVTDESC_SUFI_4090;I have decided to show my devotion to God and the order by taking a vow of celibacy.;J'ai décidé de montrer ma dévotion à Dieu et à l'ordre en faisant vœu de célibat.;Ich habe mich entschlossen, meine Hingabe an Gott und den Orden durch die Abgabe eines Keuschheitsgelübdes zu beweisen.;;He decidido jurar el voto de celibato como muestra de mi devoción por Dios.;;;;;;;;;x
# EVTOPT_SUFI_4090;Praise God!;Dieu soit loué !;Gepriesen sei Gott!;;¡Alabado sea Dios!;;;;;;;;;x
# EVTDESC_SUFI_4091;I have decided to stop my vow of celibacy and re-attend my duties to my family.;J'ai décidé de briser mon vœu de célibat et de remplir à nouveau mes devoirs envers ma famille.;Ich habe mich entschlossen, mein Keuschheitsgelübde zu beenden und mich wieder meinen Familienpflichten zuzuwenden.;;He decidido poner fin a mi voto de celibato para retomar mis obligaciones familiares.;;;;;;;;;x
EVTOPT_SUFI_4091;The ordeal is over.;Le supplice est terminé.;Die Qual ist zu Ende.;;Por fin se ha acabado esta tortura.;;;;;;;;;x
EVTDESC_SUFI_4093;Going along the teachings of [Root.Society.GetName] I have decided to donate a portion of my wealth to those who need it better.;Suivant les enseignements [Root.Get_du_Society][Root.Society.GetName], j'ai décidé de faire don d'une portion de ma richesse à ceux qui en ont besoin.;Den Lehren des "[Root.Society.GetName]"-Zirkels folgend, habe ich mich entschlossen, einen Teil meines Reichtums jenen zu geben, die ihn dringender benötigen.;;Siguiendo las enseñanzas de [Root.Society.GetName], he decidido donar una porción de mis bienes para quienes más los necesitan.;;;;;;;;;x
EVTOPT_SUFI_4093;I hope this will improve my standing.;J'espère que ceci améliorera ma réputation.;Ich hoffe, dadurch verbessert sich mein Ansehen.;;Espero que esto contribuya a mejorar mi posición.;;;;;;;;;x
monastic_orders_donate_to_charity_sufi;Donate to Charity;Faire la charité;Spendet einer Wohltätigkeitsorganisation;;Donar dinero a la caridad;;;;;;;;;x
monastic_orders_donate_to_charity_sufi_desc;Donate money to charitable causes to improve your standing in [Root.Society.GetName].;Donner de l'argent à des causes charitables afin d'améliorer votre réputation auprès [Root.Get_du_Society][Root.Society.GetName].;Spendet Geld für einen wohltätigen Zweck, um Euer Ansehen im "[Root.Society.GetName]"-Zirkel zu erhöhen.;;Dona dinero a obras caritativas para mejorar tu posición dentro de [Root.Society.GetName].;;;;;;;;;xEVTDESC_SUFI_4601_SLOTHFUL;[benedictines_diligent_mentee.GetSisterBrotherCap] [benedictines_diligent_mentee.GetFirstName]'s slothfulness has long been known in the Order, subjecting [benedictines_diligent_mentee.GetHerHim] to its scorn. I could teach [benedictines_diligent_mentee.GetHerHim] to set up a horarium to structure [benedictines_diligent_mentee.GetHerHis] time, helping [benedictines_diligent_mentee.GetHerHim] to work harder.;La paresse de [benedictines_diligent_mentee.GetSisterBrotherCap] [benedictines_diligent_mentee.GetFirstName] est connue depuis longtemps dans l'Ordre, et [benedictines_diligent_mentee.GetIlElle] subit par conséquent son mépris. Je pourrais lui apprendre à mettre en place un horarium pour structurer son temps et ainsi l'aider à mieux travailler.;Das faule Verhalten von [benedictines_diligent_mentee.GetSisterBrotherCap] [benedictines_diligent_mentee.GetFirstName] war im Orden schon lange bekannt, was [benedictines_diligent_mentee.Getihmihr] viel Hohn eingebracht hat. Ich könnte [benedictines_diligent_mentee.Getihmihr] beibringen, ein Horarium zu erstellen, um die Zeit einzuteilen und [benedictines_diligent_mentee.Getihmihr] zu helfen, härter zu arbeiten.;;Los miembros de la orden llevan un tiempo frustrados con la actitud perezosa de [benedictines_diligent_mentee.GetFirstName]. Podría enseñarle a establecer un horario con el que organizar el tiempo para que sus días resulten más productivos.;;;;;;;;;x
EVTDESC_SUFI_4601_REGULAR;Despite having been a part of the Order for a long time, [benedictines_diligent_mentee.GetSisterBrotherCap] [benedictines_diligent_mentee.GetFirstName] still does not truly exemplify the Benedictine ideals of hard work and structure. I could teach [benedictines_diligent_mentee.GetHerHim] to set up a horarium to structure [benedictines_diligent_mentee.GetHerHis] time.;Bien qu'[benedictines_diligent_mentee.GetIlElle] fasse partie de l'Ordre depuis longtemps, [benedictines_diligent_mentee.GetLeLa] [benedictines_diligent_mentee.GetSisterBrotherCap] [benedictines_diligent_mentee.GetFirstName] n'est pas encore un exemple pour ce qui est des idéaux bénédictins du travail et de l'organisation. Je pourrais lui apprendre à mettre en place un horarium pour structurer son temps.;Obwohl [benedictines_diligent_mentee.GetSheHe] schon lange dem Orden angehört, ist [benedictines_diligent_mentee.GetSisterBrotherCap] [benedictines_diligent_mentee.GetFirstName] immer noch kein leuchtendes Beispiel benediktinischer Ideale wie Struktur und harter Arbeit. Ich könnte [benedictines_diligent_mentee.Getihmihr] beibringen, ein Horarium zu erstellen, um sich die Zeit einzuteilen.;;A pesar del tiempo que lleva en la orden, [benedictines_diligent_mentee.GetFirstName] sigue sin adoptar los ideales benedictinos de trabajo duro y organización. Podría enseñarle a establecer un horario con el que organizar el tiempo.;;;;;;;;;x
EVTOPTA_SUFI_4601;I will, but [benedictines_diligent_mentee.GetHerHis] first lesson must be that good things do not come for free.;Je le ferai, mais [benedictines_diligent_mentee.GetIlElle] doit apprendre que les bonnes choses ont un prix.;Das werde ich tun, aber die erste Lektion muss sein, dass einen gute Dinge nicht ohne Arbeit ereilen.;;De acuerdo, pero la primera lección será que nada es gratis en esta vida.;;;;;;;;;x
EVTOPTA_SUFI_4601_TOOLTIP;Offer to help [benedictines_diligent_mentee.GetTitledFirstName] in return for monetary compensation.\n;Vous offrez de l'aide [benedictines_diligent_mentee.Get_au_Title][benedictines_diligent_mentee.GetTitledFirstName] en échange d'une compensation monétaire.\n;Bietet [benedictines_diligent_mentee.GetTitledFirstName] an, für monetäre Vergütung zu helfen.\n;;Te ofreces a ayudar a [benedictines_diligent_mentee.GetTitledFirstName] a cambio de una compensación económica.\n;;;;;;;;;x
EVTOPTB_SUFI_4601;No, [benedictines_diligent_mentee.GetSheHe] must find [benedictines_diligent_mentee.GetHerHis] own way.;Non, [benedictines_diligent_mentee.GetIlElle] doit trouver sa propre voie.;Nein, [benedictines_diligent_mentee.GetSheHe] muss selbst zurechtkommen.;;No, debe aprender a sacarse las castañas del fuego sin ayuda.;;;;;;;;;x
EVTOPTB_SUFI_4601_TOOLTIP;Do not help [benedictines_diligent_mentee.GetTitledFirstName].\n;Vous n'aidez pas [benedictines_diligent_mentee.Get_le_Title][benedictines_diligent_mentee.GetTitledFirstName].\n;Helft [benedictines_diligent_mentee.GetTitledFirstName] nicht.\n;;No ayudas a [benedictines_diligent_mentee.GetTitledFirstName].\n;;;;;;;;;x
EVTDESC_SUFI_4603_SLOTHFUL;Blessings to you, [benedictines_diligent_mentee.GetSisterBrotherCap] [benedictines_diligent_mentee.GetFirstName],\nForgive me for writing so candidly, but your unfortunate lack of work ethic is putting our Order in a poor light. I propose to aid you to find structure and purpose in life. A minor form of compensation in return for my help would already go a long way to teaching you the value of hard work.\n\nSigned, [benedictines_diligent_mentor.GetSisterBrotherCap] [benedictines_diligent_mentor.GetFirstName];Soyez béni[benedictines_diligent_mentee.GetNoneE], [benedictines_diligent_mentee.GetSisterBrotherCap] [benedictines_diligent_mentee.GetFirstName],\nExcusez-moi de vous parler si franchement, mais votre fâcheux manque d'éthique de travail nuit à l'image de l'Ordre. Je propose de vous aider à trouver une organisation et un but à votre vie. Une petite compensation pour mon aide contribuerait beaucoup à vous apprendre la valeur du travail acharné. \n\nSigné, [benedictines_diligent_mentor.GetSisterBrotherCap] [benedictines_diligent_mentor.GetFirstName];Seid gesegnet, [benedictines_diligent_mentee.GetSisterBrotherCap] [benedictines_diligent_mentee.GetFirstName],\nvergebt mir, dass ich so unverblümt schreibe, aber Euer bedauernswerter Mangel an Arbeitsmoral rückt unseren Orden in ein schlechtes Licht. Ich möchte Euch helfen, Eurem Leben Sinn und Zweck zu geben. Schon eine geringe Vergütung für meine Hilfe würde viel dazu beitragen, Euch den Wert harter Arbeit beizubringen.\n\nGezeichnet, [benedictines_diligent_mentor.GetSisterBrotherCap] [benedictines_diligent_mentor.GetFirstName];;Bendiciones, [benedictines_diligent_mentee.GetSisterBrotherCap] [benedictines_diligent_mentee.GetFirstName]:\nPerdona que me dirija a ti con franqueza, pero tu escasa ética de trabajo está dejando en mal lugar a la orden. Me he propuesto ayudarte a que organices tu vida y encuentres un propósito. Una pequeña compensación sería muy bien recibida como anticipo por mi contribución.\n\nFirmado: [benedictines_diligent_mentor.GetSisterBrotherCap] [benedictines_diligent_mentor.GetFirstName];;;;;;;;;x
