#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

ca_steppe_barracks_1;Great Plains Warrior Grounds;;;;;;;;;;;;;x
ca_steppe_barracks_2;Great Plains Warrior Grounds;;;;;;;;;;;;;x
ca_steppe_barracks_3;Great Plains Warrior Grounds;;;;;;;;;;;;;x
ca_steppe_barracks_4;Great Plains Warrior Grounds;;;;;;;;;;;;;x
ca_steppe_barracks_5;Great Plains Warrior Grounds;;;;;;;;;;;;;x
ca_steppe_barracks_6;Great Plains Warrior Grounds;;;;;;;;;;;;;x
ca_steppe_barracks_desc;The people of the Great Plains focus on horse warfare at the expense of foot soldiers, but the fighting men trained at these grounds are more than capable of holding their own in battle.;;;;;;;;;;;;;x
ca_steppe_stable_1;Great Expanse Riding Grounds;;;;;;;;;;;;;x
ca_steppe_stable_2;Great Expanse Riding Grounds;;;;;;;;;;;;;x
ca_steppe_stable_3;Great Expanse Riding Grounds;;;;;;;;;;;;;x
ca_steppe_stable_4;Great Expanse Riding Grounds;;;;;;;;;;;;;x
ca_steppe_stable_5;Great Expanse Riding Grounds;;;;;;;;;;;;;x
ca_steppe_stable_6;Great Expanse Riding Grounds;;;;;;;;;;;;;x
ca_steppe_stable_desc;The great flatlands of the American continent is ideal for warfare on horseback, and the nomadic warrior cultures of these lands know to press this advantage. These riding grounds produce extra light cavalry and horse archers.;;;;;;;;;;;;;x
ca_desert_stable_1;Desert Cavalry;;;;;;;;;;;;;x
ca_desert_stable_2;Desert Cavalry;;;;;;;;;;;;;x
ca_desert_stable_3;Desert Cavalry;;;;;;;;;;;;;x
ca_desert_stable_4;Desert Cavalry;;;;;;;;;;;;;x
ca_desert_stable_5;Desert Cavalry;;;;;;;;;;;;;x
ca_desert_stable_6;Desert Cavalry;;;;;;;;;;;;;x
ca_desert_stable_desc;These stables provide a ruler with a cadre of mobile mounted troops, ideally suited for skirmish warfare.;;;;;;;;;;;;;x

