#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

mushers;Mushers;;;;;;;;;;;;;x
mushers_offensive;Mushers Attack;;;;;;;;;;;;;x
mushers_defensive;Mushers Defence;;;;;;;;;;;;;x
mushers_morale;Mushers Morale;;;;;;;;;;;;;x
mushers_modifier;Combat Modifier boost to Mushers Troops: $PERC$;;;;;;;;;;;;;x
cowboys;Cowboys;;;;;;;;;;;;;x
cowboys_offensive;Cowboys Attack;;;;;;;;;;;;;x
cowboys_defensive;Cowboys Defence;;;;;;;;;;;;;x
cowboys_morale;Cowboys Morale;;;;;;;;;;;;;x
cowboys_modifier;Combat Modifier boost to Cowboys Troops: $PERC$;;;;;;;;;;;;;x
ballestero;Ballestero;;;;;;;;;;;;;x
ballestero_offensive;Ballestero Attack;;;;;;;;;;;;;x
ballestero_defensive;Ballestero Defence;;;;;;;;;;;;;x
ballestero_morale;Ballestero Morale;;;;;;;;;;;;;x
ballestero_modifier;Combat Modifier boost to Ballestero Troops: $PERC$;;;;;;;;;;;;;x
pike_cavalry;Pike Cavalry;;;;;;;;;;;;;x
pike_cavalry_offensive;Pike Cavalry Attack;;;;;;;;;;;;;x
pike_cavalry_defensive;Pike Cavalry Defence;;;;;;;;;;;;;x
pike_cavalry_morale;Pike Cavalry Morale;;;;;;;;;;;;;x
pike_cavalry_modifier;Combat Modifier boost to Pike Cavalry Troops: $PERC$;;;;;;;;;;;;;x
cossacks;Cossacks;;;;;;;;;;;;;x
cossacks_offensive;Cossacks Attack;;;;;;;;;;;;;x
cossacks_defensive;Cossacks Defence;;;;;;;;;;;;;x
cossacks_morale;Cossacks Morale;;;;;;;;;;;;;x
cossacks_modifier;Combat Modifier boost to Cossacks Troops: $PERC$;;;;;;;;;;;;;x
samurai;Samurai;;;;;;;;;;;;;x
samurai_offensive;Samurai Attack;;;;;;;;;;;;;x
samurai_defensive;Samurai Defence;;;;;;;;;;;;;x
samurai_morale;Samurai Morale;;;;;;;;;;;;;x
samurai_modifier;Combat Modifier boost to Samurai Troops: $PERC$;;;;;;;;;;;;;x
