#Decisions
take_imp_exam;Take Imperial Exam;;;;;;;;;;;;;x
take_imp_exam_desc;The Imperial Exam - or the Esadian - is the most prestigious test in all of antedivulian America. As a [Root.Government.GetName] ruler, it is your right and duty to have yourself certified by a Evaluator of Merit.;;;;;;;;;;;;;x
ie_applied_TT;Has not already applied;;;;;;;;;;;;;x
need_retest_TT;Needs a retest;;;;;;;;;;;;;x
cheated_expelled_TT;Was expelled for cheating;;;;;;;;;;;;;x
has_eval_merit_TT;Has an available Evaluator of Merit or Guru;;;;;;;;;;;;;x

failed_exam_abdicate;Abdicate as [Root.GetTitle] of [Root.PrimaryTitle.GetName];;;;;;;;;;;;;x
failed_exam_abdicate_desc;As a [Root.Government.GetName] ruler, failing your Imperial Exam is a major blow to both your prestige and legitimacy. Although you are under no obligation to renounce the throne, it may be what is best for the realm.;;;;;;;;;;;;;x

reschedule_exam;Reschedule Imperial Exam;;;;;;;;;;;;;x
reschedule_exam_desc;For one reason or another, the evaluators have yet to come back to you. At this point, it's easier to cut your losses and reschedule.;;;;;;;;;;;;;x

claim_realm_exam;Claim Liege Realm;;;;;;;;;;;;;x
claim_realm_exam_desc;Your liege has done poorly on their Imperial Exam. As a ruler who has passed, you have a right to claim your lord's realm and replace them.;;;;;;;;;;;;;x

appoint_governator;Appoint Governatus;;;;;;;;;;;;;x
appoint_governator_desc;The Governatus of California is a very important and influential title within the Imperial Court of California and across the entire realm. A person who holds this title may be able to garner enough support to displace the emperor, so one must be careful of who they pick.;;;;;;;;;;;;;x

sanction_governator;Sanction Anti-Governatus;;;;;;;;;;;;;x
sanction_governator_desc;With the Governatus seizing more and more power for themselves, it is necessary to declare an "anti-Governatus" to combat this unjust power grab.;;;;;;;;;;;;;x

remove_governator;Remove Governatus;;;;;;;;;;;;;x
remove_governator_desc;Your Governatus of California has begun to drift off course from your vision, and now is sometimes at direct odds with your decisions. As the Celestial Emperor, you have all the right to remove the governatus at your will.;;;;;;;;;;;;;x
at_least_65_TT;Imperial Authority is at least 65%;;;;;;;;;;;;;x

remove_sanctioned_governator;Remove Anti-Governatus;;;;;;;;;;;;;x
remove_sanctioned_governator_desc;Although the anti-Governatus you have chosen was supposed to defer to your rule, they have began to stray from Imperial perview. It would be best to rescind your endorsement.;;;;;;;;;;;;;x

remove_governator;Remove Governatus;;;;;;;;;;;;;x
