#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
job_prime_minister;Speaker;;;;;;;;;;;;;x
job_prime_minister_old_world;Prime Minister;;;;;;;;;;;;;x
job_prime_minister_canadian;Prime Minister;;;;;;;;;;;;;x
job_prime_minister_caribbanglo;Prime Minister;;;;;;;;;;;;;x
job_prime_minister_caribeno;Prime Minister;;;;;;;;;;;;;x
job_prime_minister_antillais;Prime Minister;;;;;;;;;;;;;x
job_prime_minister_gallomerican;Premier;;;;;;;;;;;;;x
job_prime_minister_amerodeutsch;Lawspeaker;;;;;;;;;;;;;x
job_prime_minister_consumerist;Chief Operating Officer;;;;;;;;;;;;;x
desc_job_prime_minister;The §Y$JOB$§! is the chief advisor to the monarch. In a constitutional monarchy, the §Y$JOB$§! is the leader of the largest party or coalition in Congress.;;;;;;;;;;;;;x
job_congress;Congress;;;;;;;;;;;;;x
job_congress_caribbanglo;Parliament;;;;;;;;;;;;;x
job_congress_caribeno;Parliament;;;;;;;;;;;;;x
job_congress_antillais;Parliament;;;;;;;;;;;;;x
congress_law;Monarch Power;;;;;;;;;;;;;x
congress_law_desc;This law determines whether the realm is ruled by the monarch, a legislature, or both in tandem.;;;;;;;;;;;;;x
congress_law_0;Absolute Monarchy;;;;;;;;;;;;;x
congress_law_0_option;Absolute;;;;;;;;;;;;;x
congress_law_0_desc;There are no legislative sessions and no restrictions on the monarch's power, other than how much the vassals are willing to take before they rebel.;;;;;;;;;;;;;x
congress_law_2;Constitutional Monarchy;;;;;;;;;;;;;x
congress_law_2_option;Constitutional;;;;;;;;;;;;;x
congress_law_2_desc;The powers of the ruler are kept in check by a legislature of the nobles.;;;;;;;;;;;;;x
congress_law_4;Figurehead Monarchy;;;;;;;;;;;;;x
congress_law_4_option;Figurehead;;;;;;;;;;;;;x
congress_law_4_desc;Nearly all the powers of the monarch have been assumed by the legislature.;;;;;;;;;;;;;x
convene_congress;Convene Congress;;;;;;;;;;;;;x
convene_congress_desc;Send messengers to all members of Congress requesting their presence.;;;;;;;;;;;;;x
EVTDESCCON1;I have given the orders for Congress to be convened in [Root.Location.GetName].;;;;;;;;;;;;;x
EVTOPTACON1;And all my vassals will be there...;;;;;;;;;;;;;x
faction_mood_happy;Faction Mood: Happy;Humeur de la faction : heureux;Splittergruppe-Stimmung: Glücklich;;;;;;;;;;;x
