#Society
warrior_lodge_mexican;Luchadores;;;;;;;;;;;;;x
warrior_lodge_mexican_desc;The Luchadores of Mexico are a proud group of wrestlers - or "luchadors" - who regularly participate in "lucha libre" matches. This antediluvian tradition, which experienced a revival during the golden age of the Mexican Empire, now is practiced by Mexicanos and Mesoamericans alike.;;;;;;;;;;;;;x

warrior_lodge_mexican_rank_1_female;Peso Pluma;;;;;;;;;;;;;x
warrior_lodge_mexican_rank_2_female;Peso Medio;;;;;;;;;;;;;x
warrior_lodge_mexican_rank_3_female;Peso Completo;;;;;;;;;;;;;x
warrior_lodge_mexican_rank_4_female;Capitan;;;;;;;;;;;;;x
warrior_lodge_mexican_rank_1_male;Peso Pluma;;;;;;;;;;;;;x
warrior_lodge_mexican_rank_2_male;Peso Medio;;;;;;;;;;;;;x
warrior_lodge_mexican_rank_3_male;Peso Completo;;;;;;;;;;;;;x
warrior_lodge_mexican_rank_4_male;Capitan;;;;;;;;;;;;;x

warrior_lodge_wrestle_duel;Wrestle;;;;;;;;;;;;;x
warrior_lodge_wrestle_duel_power_desc;Members of the Luchadores can wrestle other members and enemies.;;;;;;;;;;;;;x
warrior_lodge_wrestler_training;Complete a Training Regiment;;;;;;;;;;;;;x
warrior_lodge_wrestler_training_power_desc;Luchadors must be in prime condition in order to wrestle, so they can complete a training regiment put forth by the Capitan.;;;;;;;;;;;;;x
warrior_lodge_wrestler_heel_or_face;Wrestling Personas;;;;;;;;;;;;;x
warrior_lodge_wrestler_heel_or_face_power_desc;Wrestling personas have been part of the lucha libre tradition since antediluvian Mexico. Choosing one of the architypes, rudo and tecnico, is a step in becoming a true luchador.;;;;;;;;;;;;;x
warrior_lodge_choose_style;Choose a Lucha Libre Style;;;;;;;;;;;;;x
warrior_lodge_choose_style_power_desc;As a luchador, special moves are critical to performance within the ring. And so, it's necessary for a luchador to choose which of the styles they wish to focus on.;;;;;;;;;;;;;x

currency_name_warrior_lodge_mexican;Renown;;;;;;;;;;;;;x

quest_warrior_lodge_wrestle_honor;Wrestle for Honor;;;;;;;;;;;;;x
quest_warrior_lodge_wrestle_honor_desc;Members of The Luchadores often wrestle one another, for practice and recreation. It is not a duty one neglects without the notice of one's peers...;;;;;;;;;;;;;x
quest_warrior_lodge_mexican_train;Complete Training Regiment;;;;;;;;;;;;;x
quest_warrior_lodge_mexican_train_desc;Luchadors must be in prime condition in order to wrestle, so they can complete a training regiment put forth by the Capitan.;;;;;;;;;;;;;x
quest_warrior_lodge_mexican_persona;Choose a Wrestling Persona;;;;;;;;;;;;;x
quest_warrior_lodge_mexican_persona_desc;Wrestling personas have been part of the lucha libre tradition since antediluvian Mexico. Choosing one of the architypes, rudo and tecnico, is a step in becoming a true luchador.;;;;;;;;;;;;;x

String_demonstration_duel_w;demonstration match;;;;;;;;;;;;;x
String_sparring_match_w;demonstration match;;;;;;;;;;;;;x
String_duel_for_honor_w;match for honor;;;;;;;;;;;;;x
String_fight_for_glory_w;match for glory;;;;;;;;;;;;;x

#Decisions
wrestle_decision;Wrestle;;;;;;;;;;;;;x
wrestle_decision_desc;Challenge [This.GetTitledFirstName] to a wrestling match to uphold your honor. Matches can be considered dangerous to your health.;;;;;;;;;;;;;x

warrior_lodge_mexican_train;Complete a Training Regiment.;;;;;;;;;;;;;x
warrior_lodge_mexican_train_desc;As a member of The Luchadores, you need to be in peak physical performance to hold your own in the ring. The Capitan of The Luchadores has devised a training regiment so members can keep their bodies in shape.;;;;;;;;;;;;;x
lodge_allow_training_TT;You have not trained for two years.;;;;;;;;;;;;;x

warrior_lodge_mexican_persona;Choose a Lucha Libre Persona;;;;;;;;;;;;;x
warrior_lodge_mexican_persona_desc;Wrestling personas have been part of the lucha libre tradition since antediluvian Mexico. Choosing one of the architypes, rudo and tecnico, is a step in becoming a true luchador.;;;;;;;;;;;;;x

warrior_lodge_mexican_style;Choose a Lucha Libre Style;;;;;;;;;;;;;x
warrior_lodge_mexican_style_desc;As a luchador, special moves are critical to performance within the ring. And so, it's necessary for a luchador to choose which of the styles they wish to focus on.;;;;;;;;;;;;;x

#Events
EVTDESCHF10523_A;Hail, [Root.GetSocietyRank]! \n\nAs members of [Root.Society.GetName] we strive to better ourselves and each other! One way is the occasional sparring match, for practice and honor.\nSeek out and wrestle the [duel_target.GetSocietyRank] [duel_target.GetFirstName] – you will find [duel_target.GetHerHim] in [duel_target.Location.GetName].\n\nSigned, [From.GetTitledFirstName];;;;;;;;;;;;;x
EVTDESCHF10523_B;Hail, [Root.GetSocietyRank]! \n\n[Root.Society.GetNameCap] have been watching you, and I believe it is time for us to meet in the sparring ring. A [duel_target.GetSocietyRank] cannot afford to get rusty! What say you? Will you seek me out for an honorable match?\nI will be waiting for you in [duel_target.Location.GetName].\n\nSigned, [From.GetTitledFirstName];;;;;;;;;;;;;x

EVTDESC_HFP_16003_default;[combatant_1.GetBestName] has challenged you to a [combatant_1.GetDuelType]. The only respectable response would be to accept the challenge.;;;;;;;;;;;;;x
EVTDESC_HFP_16003_mock_duel;My [hero_character.GetSisterBrother] in [Root.Society.GetName], [hero_character.GetTitledName], informs me that [combatant_1.GetBestName] needs someone to partake in a [combatant_1.GetDuelType], in an attempt for the eager recruit to prove [combatant_1.GetHerselfHimself] to us. The only respectable response would be to agree to help out.;;;;;;;;;;;;;x

EVTDESC_HFP_16004;[From.GetBestName] has chosen to accept your challenge to a wrestling match. The match will take place in the next few days.;;;;;;;;;;;;;x
EVTDESC_HFP_16004_mock_duel;[hero_character.GetBestName] and [From.Society.GetName] have chosen [From.GetTitledName] as my opponent. The [From.GetAgeAdjective] [From.GetManWoman] eyes me up and down when we are introduced. "Fresh meat, eh?" [From.GetSheHe] offers mockingly, before shoving an elbow into my side, making everyone laugh.;;;;;;;;;;;;;x
EVTDESC_HFP_16004_mock_duel_spouse;[hero_character.GetBestName] and [From.Society.GetName] have chosen [From.GetTitledName] as my opponent. "Is this a joke"? I ask, my [From.GetRootRelation] smiling innocently. "It is but a formality, my dear" [From.GetSheHe] shrugs. I let out a nervous laugh.;;;;;;;;;;;;;x
