#Custom local
String_Allah;Allah;Allah;Allah;;Allah;;;;;;;;;x
String_Saint_Muhammad;Muhammad;Mahomet;Mohammed;;Mahoma;;;;;;;;;x
String_mosque;Mosque;Mosquée;Moschee;;Mezquita;;;;;;;;;x
String_the_Rule_of_Sufi;the Sufi Teachings;les Enseignements Soufis;die Sufi-Lehren;;las Enseñanzas Sufíes;;;;;;;;;x
String_in_meditation_sufi;in meditation;à méditer;Meditation;;meditación;;;;;;;;;x
# String_Peace_be_upon_you_sufi;Peace be upon you;Que la paix soit avec vous;Friede sei mit Euch;;Que la paz esté contigo.;;;;;;;;;x #As-salamu alaykum / wa-alaikum as-Salâm = Unto You be Peace.
# String_with_peace;With peace;Avec paix;Mit Frieden;;Con paz.;;;;;;;;;x #Ma'a Salama
String_Peace_be_upon_you_sufi;As-salamu alaykum;;;;;;;;;;;;;x
String_with_peace;Ma'a Salama;;;;;;;;;;;;;x
currency_name_monastic_order_sufi;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
#powers
sufi_monastic_order_education_power_tt;Power: §Y[From.GetsufiMoCode]§!\nYour wards have a chance to gain increased attribute points during their education and upon reaching adulthood have a chance to lose wicked traits and gain pious ones.\n\nPower: §YForce into Sufi Order§!\nAll Muslims rulers can force a decadent member into a sufi order to be re educated.;Pouvoir: §Y[From.GetsufiMoCode]§!\nVos pupilles ont une chance d'avoir des compétences augmentées durant leur éducation, et de perdre de mauvais traits et d'en gagner de pieux à l'âge adulte.\n\nPouvoir: §YForce into Sufi Order§!\nTous les dirigeants musulmans peuvent forcer un membre décadent à se soumettre à un ordre sufi pour être rééduqués.;Macht: §Y[From.GetsufiMoCode]§!\nEure Schützlinge haben eine Chance erhöhte Attribute während ihrer Ausbildung zu erhalten und haben die Möglichkeit bei Erreichen des Erwachsenenalter die Eigenschaft "ruchlos" zu verlieren und "fromm" zu erhalten.\n\nMacht: §YForce into Sufi Order§!\nAlle muslimischen Herrscher können ein dekadentes Mitglied in einen Sufi-Orden zwingen, um sich weiterzubilden.;;Poder: §Y[From.GetsufiMoCode]§!\nTus pupilos tienen la oportunidad de ganar mayores puntos de atributo durante su educación y al llegar a la edad adulto tienen la posibilidad de perder rasgos malignos y ganar otros piadosos.\n\nPoder: §YForce into Sufi Order§!\nTodos los gobernantes musulmanes pueden forzar a un miembro decadente a una orden sufí para que lo reeduquen.;;;;;;;;;x
monastic_orders_invite_ascetic_sufi;Invite Hafiz;Inviter un Hafiz;Heiligen Hafiz einladen;;Invitar a un/a santo/a Hafiz;;;;;;;;;x
monastic_orders_invite_ascetic_sufi_desc;Invite a Hafiz belonging to [Root.Society.GetName] to join your court.;Inviter un Hafiz membre [Root.Get_du_Society][Root.Society.GetName] à rejoindre votre Cour.;Ladet einen heiligen Hafiz, der dem "[Root.Society.GetName]"-Zirkel angehört, dazu ein, sich an Euren Hof zu gesellen.;;Invitas a un/a santo/a Hafiz de [Root.Society.GetName] a unirse a tu corte.;;;;;;;;;x
monastic_orders_invite_ascetic_sufi_tt;A Hafiz will soon appear at the court of §Y[Root.GetTitledFirstName]§!.\n;Un Hafiz apparaîtra bientôt à la Cour [Root.Get_du_Title]§Y[Root.GetTitledFirstName]§!.\n;Am Hafiz von §Y[Root.GetTitledFirstName]§! wird bald ein heiliger Asket erscheinen.\n;;Pronto aparecerá un/a santo/a Hafiz en la corte de §Y[Root.GetTitledFirstName]§!.\n;;;;;;;;;x
monastic_orders_invite_ascetic_sufi_power_desc;Enables you to invite a learned Hafiz member of the order to your court.;Permet d'inviter à la Cour un érudit Hafiz membre de l'Ordre.;Ermöglicht Euch, ein gebildetes Hafiz Mitglied des Ordens an Euren Hof einzuladen.;;Te permite invitar a la corte a un miembro Hafiz docto de la orden.;;;;;;;;;x
monastic_orders_go_celibate_sufi;Practice Zuhd;Faire vœu de Zuhd;Ein Keuschheitsgelübde ablegen;;Jurar el voto de Zuhd;;;;;;;;;x
monastic_orders_go_celibate_sufi_desc;Show your devotion to [Root.GetsufiMoGod] by practicing Zuhd, an ascetic way of life.;Montrer votre dévotion à [Root.GetsufiMoGod] en devenant célibataire.;Zeigt Eure Hingabe an [Root.GetsufiMoGod] und lebt ein keusches Leben.;;Adopta el celibato como muestra de tu devoción por [Root.GetsufiMoGod].;;;;;;;;;x
monastic_orders_stop_celibate_sufi;Stop Practicing Zuhd;Renoncer au vœu de Zuhd;Keuschheitsgelübde abschwören;;Renunciar al voto de Zuhd;;;;;;;;;x
monastic_orders_stop_celibate_sufi_desc;Start cherishing wealth again.;Arrêter d'être Zuhd.;Beendet Euer Keuschheitsgelübde.;;Abandona el voto de Zuhd.;;;;;;;;;x
monastic_orders_go_celibate_sufi_power_desc;Enables you to practice Zuhd by using decision in the Intrigue Screen.;Permet de devenir Zahid.\n(Prendre la décision dans l'écran 'Intrigue');Ermöglicht Euch, durch Verwenden der Entscheidung auf der Intrigenseite keusch zu werden.;;Te permite convertirte en Zuhd eligiendo la opción en el menú Intriga.;;;;;;;;;x
monastic_orders_stop_celibate_sufi_power_desc;Enables you to stop practicing Zuhd by using decision in the Intrigue Screen.;Permet de ne plus être Zahid.\n(Prendre la décision dans l'écran 'Intrigue');Ermöglicht Euch, durch Verwenden der Entscheidung auf der Intrigenseite aufzuhören, keusch zu sein.;;Te permite abandonar el Zuhd eligiendo la opción en la menú Intriga.;;;;;;;;;x
sufi_zahid;Zahid;;;;;;;;;;;;;x
sufi_zahid_desc;A Zahid is one who shuns luxury in favour of a simple and pious life.;;;;;;;;;;;;;x
monastic_order_convert_county_sufi;Convert County;Convertir le comté;Grafschaft konvertieren;;Convertir condado;;;;;;;;;x
monastic_order_convert_county_sufi_desc;Send emissaries from [From.Society.GetName] to the local population in order to convert them to the [From.Religion.GetName] faith.;Envoyer des émissaires [From.Get_du_Society][From.Society.GetName] à la population locale afin de les convertir à la foi [From.Religion.GetName].;Schickt Gesandte des [From.Society.GetName]-Zirkels zur örtlichen Bevölkerung, um diese zum [From.Religion.GetName]en Glauben zu bekehren.;;Envía emisarios de [From.Society.GetName] a la población local para convertirlos a la fe [From.Religion.GetName].;;;;;;;;;x
monastic_orders_teach_virtue_sufi;Teach Virtue;Enseigner la vertu;Tugend lehren;;Inculcar virtud;;;;;;;;;x
monastic_orders_teach_virtue_sufi_desc;You have noticed how [Root.GetTitledFirstName] sometimes struggles with doing the right thing. You could change that by teaching [Root.GetHerHim] one of your many virtues.;Vous avez remarqué que [Root.Get_le_Title][Root.GetTitledFirstName] a du mal à bien se comporter. Vous pourriez l'aider en lui enseignant une de vos vertus.;Ihr habt bemerkt, dass es [Root.GetTitledFirstName] zuweilen schwerfällt, das Richtige zu tun. Dies könnt Ihr ändern, indem Ihr [Root.GetTitledFirstName] eine Eurer vielen Tugenden lehrt.;;Has notado que a veces [Root.GetTitledFirstName] tiene problemas para hacer lo correcto. Puedes cambiar esto inculcando a esta persona una de tus muchas virtudes.;;;;;;;;;x
monastic_orders_spiritual_guidance_sufi;Give Spiritual Guidance;Donner des conseils spirituels;Spirituelle Weisung erteilen;;Dar orientación espiritual;;;;;;;;;x
monastic_orders_spiritual_guidance_sufi_desc;You know [Root.GetTitledFirstName] to be a sinful person. As such you can provide spiritual guidance to help rid [Root.GetHerHim] of one of [Root.GetHerHis] vices.;Vous savez que [Root.Get_le_Title][Root.GetTitledFirstName] est dans le péché. En tant que tel, vous pouvez lui donner des conseils spirituels pour l'aider à se débarrasser d'un des ses vices.;Ihr wisst, dass [Root.GetTitledFirstName] ein sündhafter Mensch ist. Daher könnt Ihr spirituelle Weisung erteilen, damit [Root.GetSheHe] eines [Root.GetHerHis]er Laster aufgibt.;;Sabes que [Root.GetTitledFirstName] es una persona pecaminosa. Puedes proporcionarle orientación espiritual para conseguir que abandone uno de sus vicios.;;;;;;;;;x
monastic_order_meditation_sufi;Begin Secluded Meditation;Se reclure pour méditer;Abgeschiedene Meditation beginnen;;Iniciar la meditación en reclusión;;;;;;;;;x
monastic_order_meditation_sufi_desc;§Y[Root.GetTitledFirstName]§! can seclude [Root.GetHerselfHimself] and recite the Dhikr to remember the will of [Root.GetsufiMoGod].;[Root.Get_Le_Title]§Y[Root.GetTitledFirstName]§! peut se reclure et réciter le Dhikr pour se souvenir de la volonté d'[Root.GetsufiMoGod].;§Y[Root.GetTitledFirstName]§! kann sich in Abgeschiedenheit zurückziehen und rezitiere den Dhikr, um sich an den Willen [Root.GetsufiMoGod]s zu erinnern.;;§Y[Root.GetTitledFirstName]§! puede recluirse y recitar el Dhikr para recordar la voluntad de [Root.GetsufiMoGod].;;;;;;;;;x
monastic_order_meditation_sufi_allow_tt;§Y[Root.GetTitledFirstName]§! has not secluded [Root.GetHerselfHimself] to Dhikr recently.\n;[Root.Get_Le_Title]§Y[Root.GetTitledFirstName]§! ne s'est pas reclus[Root.GetNoneE] récemment pour Dhikr.\n;§Y[Root.GetTitledFirstName]§! hat sich seit einer Weile nicht zurückgezogen, um zu Dhikr.\n;;§Y[Root.GetTitledFirstName]§! no se ha recluido para Dhikr últimamente.\n;;;;;;;;;x
request_to_rank_up_within_sufi_society;Request to Rank Up;Demander à monter en grade;Aufstieg einfordern;;Solicitar subida de rango;;;;;;;;;x
request_to_rank_up_within_sufi_society_desc;Send a letter to the [Root.GetsufiSocietyLeaderName] of [Root.Society.GetName], requesting to rank up.;Contacter le [Root.GetsufiSocietyLeaderName] [Root.Get_du_Society][Root.Society.GetName], pour demander à être promu.;Schickt dem "[Root.Society.GetName]"-Zirkel einen Brief, in dem Ihr darum bittet, im Rang aufzusteigen.;;Envía una carta al líder de [Root.Society.GetName] pidiéndole que te permita subir de rango.;;;;;;;;;x
request_to_rank_up_within_sufi_society_cynical_tt;[Root.GetsufiSocietyRankUpTooltip2];[Root.GetsufiSocietyRankUpTooltip2];[Root.GetsufiSocietyRankUpTooltip2];;[Root.GetsufiSocietyRankUpTooltip2];;;;;;;;;x
request_to_rank_up_within_sufi_society_virtues_tt;[Root.GetsufiSocietyRankUpTooltip4];[Root.GetsufiSocietyRankUpTooltip4];[Root.GetsufiSocietyRankUpTooltip4];;[Root.GetsufiSocietyRankUpTooltip4];;;;;;;;;x
monastic_orders_send_decadent;Force into Sufi Order;Force dans l'ordre soufi;In die Sufi-Ordnung eindringen;;Fuerza en orden sufí;;;;;;;;;x
monastic_orders_send_decadent_desc;Force a decadent character into into a Sufi Order. Alongside a generous donation to the order.;Forcez un personnage décadent dans un ordre soufi. A côté d'un don généreux à l'ordre.;Zwingt einen dekadenten Charakter in einen Sufi-Orden. Neben einer großzügigen Spende für den Auftrag.;;Forzar a un personaje decadente a una orden sufí. Junto a una generosa donación a la orden.;;;;;;;;;x
# monastic_orders_send_decadent_power_tt;Power: §YForce into Sufi Order§!\nAll muslims rulers can force a decadent member into a sufi order to be re educate.;Pouvoir: §YForce into Sufi Order§!\nTous les dirigeants musulmans peuvent forcer un membre décadent à se soumettre à un ordre sufi pour être rééduqués.;Macht: §YForce into Sufi Order§!\nAlle muslimischen Herrscher können ein dekadentes Mitglied in einen Sufi-Orden zwingen, um sich weiterzubilden.;;Poder: §YForce into Sufi Order§!\nTodos los gobernantes musulmanes pueden forzar a un miembro decadente a una orden sufí para que lo reeduquen.;;;;;;;;;x
monastic_orders_create_sufis;Spawn Sufis;;;;;;;;;;;;;x
monastic_orders_create_sufis_desc;You are not supposed to see this.;;;;;;;;;;;;;x
#societies
