From;To;Type;Through;-1;-1;-1;-1;Comment
2;3;sea;1489;-1;-1;-1;-1;Brooklyn-Manhattan
2;4;sea;1489;-1;-1;-1;-1;Brooklyn-Palisades
1199;1200;sea;1475;-1;-1;-1;-1;Cap Diamant-StLaw-Chaudiere
187;1010;sea;1503;-1;-1;-1;-1;Straits of Mackinac
35;1283;sea;1474;-1;-1;-1;-1;Watertown-Cataraqui
35;1296;sea;1474;-1;-1;-1;-1;Watertown-Thousand Islands
36;1296;sea;1474;-1;-1;-1;-1;Raquette-Thousand Islands
36;1298;sea;1474;-1;-1;-1;-1;Raquette-United Counties
784;1299;sea;1475;-1;-1;-1;-1;Raquette-Thousand Islands
1214;1165;sea;1481;-1;-1;-1;-1;Prince Edward-mainland
1210;1220;sea;1475;-1;-1;-1;-1;amiante-portneuf
1211;1221;sea;1475;-1;-1;-1;-1;Mauricia-saint-francois
1222;1212;sea;1567;-1;-1;-1;-1;Lanaudiere-les maskoutains
1222;784;sea;1567;-1;-1;-1;-1;Lanaudiere-monteregie
1222;1217;sea;1567;-1;-1;-1;-1;Montreal-Lanaudiere
1300;1217;sea;1567;-1;-1;-1;-1;Montreal-Grand Ligne
784;1217;sea;1567;-1;-1;-1;-1;Montreal-Monteregie
284;290;sea;1501;-1;-1;-1;-1;Sudbury-Manitoulin
1010;290;sea;1502;-1;-1;-1;-1;Sault Ste Marie-Manitoulin
1010;289;sea;1515;-1;-1;-1;-1;Sault Ste Marie-Bawating
3;4;major_river;1486;-1;-1;-1;-1;Manhattan-HudsonR-Palisades
3;5;major_river;1486;-1;-1;-1;-1;Manhattan-HudsonR-Newburgh
5;6;major_river;1486;-1;-1;-1;-1;Newburgh-HudsonR-Poughkeepsie
6;7;major_river;1486;-1;-1;-1;-1;Poughkeepsie-HudsonR-Woodstock
7;8;major_river;1486;-1;-1;-1;-1;Woodstock-HudsonR-Hudson
9;10;major_river;1560;-1;-1;-1;-1;Albany-HudsonR-Troy
12;41;major_river;1560;-1;-1;-1;-1;Bennington-HudsonR-Saratoga
10;12;major_river;1487;-1;-1;-1;-1;Albany-MohawkR-Saratoga
13;20;major_river;1487;-1;-1;-1;-1;Johnstown-MohawkR-Schoharie
25;789;sea;1476;-1;-1;-1;-1;Jersey Shore-Sussex
55;57;sea;1483;-1;-1;-1;-1;Choptank-Severn
57;67;sea;1483;-1;-1;-1;-1;Severn-Rappahannock
57;93;sea;1483;-1;-1;-1;-1;Severn-Bull Run
56;74;sea;1483;-1;-1;-1;-1;Hampton Roads-Pocomoke
26;53;sea;1476;-1;-1;-1;-1;South Jersey-Wilmington
681;558;sea;1602;-1;-1;-1;-1;Broughton-Klinaklini
681;2091;sea;1602;-1;-1;-1;-1;Broughton-Port Hardy
562;558;sea;1602;-1;-1;-1;-1;Sunshine Coast-Broughton
784;1212;major_river;898;-1;-1;-1;-1;Monteregie-Monteregie-Est
821;655;major_river;1462;-1;-1;-1;-1;Cimitarra-Oriente Antioqueno
821;604;major_river;1462;-1;-1;-1;-1;Cimitarra-Yondo
39;42;major_river;1488;-1;-1;-1;-1;Ticonderoga-Rutland
40;41;major_river;1488;-1;-1;-1;-1;Bennington
214;1050;major_river;1550;-1;-1;-1;-1;Cuivre-St Louis
214;1294;major_river;1550;-1;-1;-1;-1;Cuivre-Gasconade
214;1077;major_river;1549;-1;-1;-1;-1;Cuivre-Alton
1050;1077;major_river;1518;-1;-1;-1;-1;St Louis-Alton
1050;214;major_river;1518;-1;-1;-1;-1;St Louis-Cuivre
214;1078;major_river;1549;-1;-1;-1;-1;Cuivre-Quincy
215;1078;major_river;1549;-1;-1;-1;-1;Hannibal-Quincy
215;1079;major_river;1549;-1;-1;-1;-1;Hannibal-LaMoine
216;1295;major_river;1550;-1;-1;-1;-1;Boone-Cole
1018;1051;sea;1554;-1;-1;-1;-1;Purchase-Girardeau
1291;1023;sea;1552;-1;-1;-1;-1;Bootheel-Reelfoot
867;1023;sea;1552;-1;-1;-1;-1;Crittenden-Reelfoot
1249;1124;sea;1495;-1;-1;-1;-1;Plaquemines-New Oreleans
1250;1124;sea;1495;-1;-1;-1;-1;Thibodaux-New Oreleans
1250;1119;sea;1495;-1;-1;-1;-1;Thibodaux-Itta Homma
1251;1119;sea;1495;-1;-1;-1;-1;Atchafalaya-Itta Homma
1264;1251;major_river;955;-1;-1;-1;-1;St Landry-Atchafalaya
1251;1125;sea;1495;-1;-1;-1;-1;Atchafalaya-Mississippi-Natchez
1267;1125;sea;1495;-1;-1;-1;-1;Catahoula-Mississippi-Natchez
1267;1126;sea;1547;-1;-1;-1;-1;Catahoula-Mississippi-Bayou Pierre
1286;1126;sea;1547;-1;-1;-1;-1;Ouachita-Mississippi-Bayou Pierre
1286;1127;sea;1547;-1;-1;-1;-1;Ouachita-Mississippi-Vicksburg
1267;1125;sea;1547;-1;-1;-1;-1;Natchez-Catahoula
233;1127;sea;1547;-1;-1;-1;-1;Chicot-Vicksburg
233;1133;sea;1547;-1;-1;-1;-1;Chicot-Sunflower
233;1132;sea;1547;-1;-1;-1;-1;Chicot-tillatoba
1014;1055;major_river;1497;-1;-1;-1;-1;Owensboro-LowOhio-Cairo
1014;1058;major_river;1497;-1;-1;-1;-1;Owensboro-LowOhio-Effingham
1014;1059;major_river;1497;-1;-1;-1;-1;Owensboro-LowOhio-Evansville
1013;1059;major_river;1497;-1;-1;-1;-1;rough River-LowOhio-Evansville
1017;1055;major_river;1497;-1;-1;-1;-1;Purchase-LowOhio-Cairo
1018;1055;major_river;1497;-1;-1;-1;-1;Mineral Mound-LowOhio-Cairo
1009;1060;major_river;954;-1;-1;-1;-1;Louisville-MidOhio-Hoosier
1013;1060;major_river;954;-1;-1;-1;-1;Rough River-MidOhio-Hoosier
1009;1061;major_river;1498;-1;-1;-1;-1;Louisville-MidOhio-Versailles
122;1061;major_river;1498;-1;-1;-1;-1;Covington-MidOhio-Versailles
116;122;major_river;1498;-1;-1;-1;-1;Scioto-UpperOhioR-Covington
116;1003;major_river;939;-1;-1;-1;-1;Scioto-UpperOhioR-Greenbo
116;1006;major_river;1498;-1;-1;-1;-1;Scioto-UpperOhioR-BlueLicks
121;122;major_river;1498;-1;-1;-1;-1;Cincinnati-Ohio-Covington
112;1003;major_river;939;-1;-1;-1;-1;Chillicothe-Ohio-Greenbo
112;96;major_river;939;-1;-1;-1;-1;Chillicothe-Ohio-Tug Fork
112;95;major_river;939;-1;-1;-1;-1;Chillicothe-Ohio-Kanawha
105;94;major_river;1448;-1;-1;-1;-1;Muskingum-Ohio-Monongalia
105;92;major_river;1448;-1;-1;-1;-1;Muskingum-Ohio-Wheeling
104;92;major_river;1448;-1;-1;-1;-1;Mahoning-Ohio-Wheeling
1051;1055;major_river;949;-1;-1;-1;-1;Cape Girardeau-Gate-Cairo
1050;1056;major_river;949;-1;-1;-1;-1;St Louis-Chain of Rocks-Kaskasia
1082;1056;major_river;949;-1;-1;-1;-1;Magnolia Hollow-Chain of Rocks-Kaskasia
1082;1055;major_river;949;-1;-1;-1;-1;Magnolia Hollow-Gate-Cairo
1264;1267;major_river;1546;-1;-1;-1;-1;St Landry-Red River-Catahoula
1266;1267;major_river;1546;-1;-1;-1;-1;Rapides-Red River-Catahoula
1266;1287;major_river;1546;-1;-1;-1;-1;Rapides-Red River-Kisatchie
1284;1287;major_river;1546;-1;-1;-1;-1;Natchitoches-Red River-Kisatchie
1284;1285;major_river;948;-1;-1;-1;-1;Natchitoches-Red River-Bossier
1290;1285;major_river;948;-1;-1;-1;-1;Cypress-Red River-Bossier
1289;1285;major_river;948;-1;-1;-1;-1;Texarkana-Red River-Bossier
1289;235;major_river;948;-1;-1;-1;-1;Texarkana-Red River-Smackover
1289;237;major_river;962;-1;-1;-1;-1;Texarkana-Red River-Little Mo
300;237;major_river;962;-1;-1;-1;-1;Titus-Red River-Little Mo
300;328;major_river;962;-1;-1;-1;-1;Titus-Red River-Kiamichi
301;328;major_river;962;-1;-1;-1;-1;Grayson-Red River-Kiamichi
213;1079;major_river;1549;-1;-1;-1;-1;Shoquoquon-LaMoine
232;1132;sea;1548;-1;-1;-1;-1;White-Arkabutla
232;1131;sea;1548;-1;-1;-1;-1;White-Tillatoba
232;239;major_river;951;-1;-1;-1;-1;White-Bald Knob
238;239;major_river;945;-1;-1;-1;-1;Crowley-Bald Knob
238;241;major_river;945;-1;-1;-1;-1;Crowley-Spring
232;240;major_river;951;-1;-1;-1;-1;White-Little Rock
251;255;major_river;1550;-1;-1;-1;-1;Saline-Missouri-Thompson
251;252;major_river;1550;-1;-1;-1;-1;Saline-Missouri-Bluffwoods
251;216;major_river;1550;-1;-1;-1;-1;Saline-Missouri-Boone
250;252;major_river;1551;-1;-1;-1;-1;Moks-Missouri-Bluffwoods
867;1024;sea;1552;-1;-1;-1;-1;Crittenden-Memphis
1053;1054;major_river;1555;-1;-1;-1;-1;Rockford-Kankakee
1053;1070;major_river;1553;-1;-1;-1;-1;Rockford-Streatorland
1071;1070;major_river;1553;-1;-1;-1;-1;Peoria-Streatorland
1071;1072;major_river;1553;-1;-1;-1;-1;Peoria-Sangamon
1077;1078;major_river;1553;-1;-1;-1;-1;Alton-Quincy
354;299;major_river;1551;-1;-1;-1;-1;Norfolk-Missouri-Kanesville
353;299;major_river;1551;-1;-1;-1;-1;Omaha-Missouri-Kanesville
346;253;major_river;1551;-1;-1;-1;-1;Atchison-Missouri-Nodaway
346;252;major_river;1551;-1;-1;-1;-1;Atchison-Missouri-Bluffwoods
240;233;major_river;1556;-1;-1;-1;-1;little rock-Arkansas-chicot
232;233;major_river;1556;-1;-1;-1;-1;Arkansas River Crossing
234;240;major_river;1556;-1;-1;-1;-1;Arkansas River Crossing
236;240;major_river;1556;-1;-1;-1;-1;Arkansas River Crossing
236;243;major_river;1557;-1;-1;-1;-1;Arkansas River Crossing
243;244;major_river;1557;-1;-1;-1;-1;Arkansas River Crossing
244;245;major_river;1557;-1;-1;-1;-1;Arkansas River Crossing
1227;231;major_river;1559;-1;-1;-1;-1;Webb-RioGrande-Laredo
1230;231;major_river;1559;-1;-1;-1;-1;Maverick-RioGrande-Laredo
1230;812;major_river;1559;-1;-1;-1;-1;Maverick-RioGrande-PiedrasNegras
1233;812;major_river;959;-1;-1;-1;-1;ValVerde-RioGrande-PiedrasNegras
1233;2109;major_river;959;-1;-1;-1;-1;ValVerde-RioGrande-acuna
310;2109;major_river;959;-1;-1;-1;-1;Pecos-RioGrande-acuna
309;2109;major_river;959;-1;-1;-1;-1;Crockett-RioGrande-acuna
803;311;major_river;960;-1;-1;-1;-1;Santa Elena-RioGrande-Big Bend
1227;230;major_river;1586;-1;-1;-1;-1;Webb-RioGrande-Falcon
1225;228;major_river;1586;-1;-1;-1;-1;Starr-RioGrande-Matamoros
1223;228;major_river;1586;-1;-1;-1;-1;Cameron-RioGrande-Matamoros
354;363;major_river;1562;-1;-1;-1;-1;Norfolk-Missouri-Floyd
354;375;major_river;1562;-1;-1;-1;-1;Norfolk-Missouri-Minnehaha
354;376;major_river;1562;-1;-1;-1;-1;Norfolk-Missouri-Yankton
355;376;major_river;1562;-1;-1;-1;-1;Niobrara-Missouri-Yankton
381;376;major_river;932;-1;-1;-1;-1;Rosebud-Missouri-Yankton
209;1146;major_river;1563;-1;-1;-1;-1;Mississippi River Crossing
210;1146;major_river;1563;-1;-1;-1;-1;Mississippi River Crossing
210;1147;major_river;1563;-1;-1;-1;-1;Mississippi River Crossing
211;1147;major_river;1563;-1;-1;-1;-1;Mississippi River Crossing
211;1148;major_river;1563;-1;-1;-1;-1;Mississippi River Crossing
265;1145;major_river;1449;-1;-1;-1;-1;Roch-Mississippi-La Crosse
264;226;major_river;950;-1;-1;-1;-1;Cannon-Mississippi-Willow
263;869;major_river;950;-1;-1;-1;-1;Minneapolis-Mississippi-St Paul
