# 1050 - St Louis
# aka NEW ROME

# County Title
title = c_st_louis

# Settlements
max_settlements = 7
b_st_louis_MO = temple
b_florissant_MO = castle
b_mehlville_MO = city
b_wildwood_MO = castle
b_carondelet_MO = temple

# Misc
culture = riverlander
religion = catholic

# history
2300.1.1 = {
	b_st_louis_MO = tp_wall_1
	b_st_louis_MO = tp_wall_2
	b_st_louis_MO = tp_wall_3
	b_st_louis_MO = tp_monastery_1
	b_st_louis_MO = tp_monastery_2
	b_st_louis_MO = tp_monastery_3
	b_st_louis_MO = tp_barracks_1
}
