#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
DYN1_DESC;With a score of $SCORE$ you$FAILED$ beat House Royall, Emperors of the Holy Columbian Confederacy.;;;;;;;;;;;;;x
DYN2_DESC;With a score of $SCORE$ you$FAILED$ beat House Rodham, Kings of Hudsonia. Claiming direct descent from one of New York State's pre-Event ruling families, the Rodhams marched north from Manhattan in the late 24th century to reclaim their birthright from the Occultist kingdom of New England. Taking advantage of local revolts against the Mahonic kings, financial support from House Wayne, and his own political savvy, the ambitious Ellis Rodham I formed a mighty army of mercenaries, New Yorker militiamen and glory-seeking knights, which took the Hudson Valley and Albany itself within months of the start of his campaign. By 2381, he had driven the Occultists past the Hudson and united all the state under his banner save the Republic of New York, whose independence he respected out of gratitude for the Waynes' help years before. Under his family's rule, Hudsonia's fortunes would wax and wane over the centuries, facing periods of peace and prosperity alongside the challenges of war, rebellion, disease and loss of territory to Anabaptists and Rust Cultists, but the main line of the Rodhams would eventually fade from power not through violence, but love; when Queen Tiaogeara I married Baltus II, the kingdom passed to the Groots upon their son's succession.;;;;;;;;;;;;;x
DYN3_DESC;With a score of $SCORE$ you$FAILED$ beat House Iturbide, Kings of Mexico.;;;;;;;;;;;;;x
DYN4_DESC;With a score of $SCORE$ you$FAILED$ beat House Yoder, who united much of Pennsylvania under the rule of the Deitsch. Though Deitscherei would continue under other dynasties for several centuries, House Yoder was wiped out when the childless Kaynich Abram II was murdered by Americanists. His successor, Samuel Stolzfus, avenged him by invading Washington and killing President Smithson, setting off a cycle of violence and retribution between Americanists and Anabaptists that resulted in Anabaptist doctrines of pacifism and religious freedom largely being set aside.;;;;;;;;;;;;;x
DYN5_DESC;With a score of $SCORE$ you$FAILED$ beat House Creaux, Kings of Louisiana.;;;;;;;;;;;;;x
DYN6_DESC;With a score of $SCORE$ you$FAILED$ beat House Nokono of Comancheria.;;;;;;;;;;;;;x
DYN7_DESC;With a score of $SCORE$ you$FAILED$ beat House Sulley of Moskitia.;;;;;;;;;;;;;x
DYN8_DESC;With a score of $SCORE$ you$FAILED$ beat House Avondale, a wealthy and influential Americanist dynasty that produced three Presidents. The dynasty was brought to a violent end by the Viking Albert Soady, who sacked Chicago and sacrificed President Anatol Avondale and his family to Odin.;;;;;;;;;;;;;x
DYN9_DESC;With a score of $SCORE$ you$FAILED$ beat House Pitchstone, the Americanist kings of Dakota. Ned Pitchstone is widely regarded as one of the greatest post-Event Presidents, taking over after President Bannister Smithson was slain by the Deitsch, avenging him, and consolidating Americanist rule in the Midwest. His daughter Margaret was the first woman elected to the Presidency, but she faced a Sioux resurgence and Catholic holy wars, and after her death the kingdom was reconquered by the Sioux and House Pitchstone faded into obscurity.;;;;;;;;;;;;;x
DYN10_DESC;With a score of $SCORE$ you$FAILED$ beat House;;;;;;;;;;;;;x
DYN11_DESC;With a score of $SCORE$ you$FAILED$ beat House;;;;;;;;;;;;;x
