#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_culture_rostmann_1;Pikemen Training Ground;;;;;;;;;;;;;x
ca_culture_rostmann_2;Pikemen Training Ground;;;;;;;;;;;;;x
ca_culture_rostmann_3;Pikemen Training Ground;;;;;;;;;;;;;x
ca_culture_rostmann_4;Pikemen Training Ground;;;;;;;;;;;;;x
ca_culture_rostmann_1_desc;The pikemen of the Rust Belt are trained to present an impenetrable wall of steel to enemy cavalry and infantry.;;;;;;;;;;;;;x
ca_culture_dixie_1;Jousting Lists;;;;;;;;;;;;;x
ca_culture_dixie_2;Jousting Lists;;;;;;;;;;;;;x
ca_culture_dixie_3;Jousting Lists;;;;;;;;;;;;;x
ca_culture_dixie_4;Jousting Lists;;;;;;;;;;;;;x
ca_culture_dixie_1_desc;Here the knights of the South face off against each other in jousting tournaments and other chivalrous competitions.;;;;;;;;;;;;;x
ca_culture_gulf_1;Caballero Training Ground;;;;;;;;;;;;;x
ca_culture_gulf_2;Caballero Training Ground;;;;;;;;;;;;;x
ca_culture_gulf_3;Caballero Training Ground;;;;;;;;;;;;;x
ca_culture_gulf_4;Caballero Training Ground;;;;;;;;;;;;;x
ca_culture_gulf_1_desc;The agile light cavalry of the Gulf kingdoms are raised here. These horsemen are skilled in skirmishing and harassment.;;;;;;;;;;;;;x
ca_culture_canadian_1;Longbow Range;;;;;;;;;;;;;x
ca_culture_canadian_2;Longbow Range;;;;;;;;;;;;;x
ca_culture_canadian_3;Longbow Range;;;;;;;;;;;;;x
ca_culture_canadian_4;Longbow Range;;;;;;;;;;;;;x
ca_culture_canadian_1_desc;The strong tradition of archery in Canada produces excellent bowmen. Here they can practice with their powerful longbows.;;;;;;;;;;;;;x
ca_culture_amerodeutsch_1;Housecarl Training Ground;;;;;;;;;;;;;x
ca_culture_amerodeutsch_2;Housecarl Training Ground;;;;;;;;;;;;;x
ca_culture_amerodeutsch_3;Housecarl Training Ground;;;;;;;;;;;;;x
ca_culture_amerodeutsch_4;Housecarl Training Ground;;;;;;;;;;;;;x
ca_culture_amerodeutsch_1_desc;The housecarls of the Great Lakes are trained here, providing excellent if somewhat ill-tempered heavy infantry, usually equipped with powerful battle axes.;;;;;;;;;;;;;x
ca_culture_caribbean_1;Machetero Training Ground;;;;;;;;;;;;;x
ca_culture_caribbean_2;Machetero Training Ground;;;;;;;;;;;;;x
ca_culture_caribbean_3;Machetero Training Ground;;;;;;;;;;;;;x
ca_culture_caribbean_4;Machetero Training Ground;;;;;;;;;;;;;x
ca_culture_caribbean_1_desc;Caribbean warriors are trained here in the use of machetes and cutlasses.;;;;;;;;;;;;;x
ca_culture_texan_1;Cowboy Riding Ground;;;;;;;;;;;;;x
ca_culture_texan_2;Cowboy Riding Ground;;;;;;;;;;;;;x
ca_culture_texan_3;Cowboy Riding Ground;;;;;;;;;;;;;x
ca_culture_texan_4;Cowboy Riding Ground;;;;;;;;;;;;;x
ca_culture_texan_1_desc;The cowboys of the American West and vaqueros of Mexico are excellent light cavalrymen, trained to hit the enemy relentlessly from different directions before regrouping and doing it again.;;;;;;;;;;;;;x
ca_culture_ny_1;New Yorker Militia Quarters;;;;;;;;;;;;;x
ca_culture_ny_2;New Yorker Militia Quarters;;;;;;;;;;;;;x
ca_culture_ny_3;New Yorker Militia Quarters;;;;;;;;;;;;;x
ca_culture_ny_4;New Yorker Militia Quarters;;;;;;;;;;;;;x
ca_culture_ny_1_desc;The militias of New York wield fearsome spiked staffs designed to dehorse knights. They have proven themselves more than once against armored cavalry.;;;;;;;;;;;;;x
ca_culture_delawarean_1;Dragoon Training Ground;;;;;;;;;;;;;x
ca_culture_delawarean_2;Dragoon Training Ground;;;;;;;;;;;;;x
ca_culture_delawarean_3;Dragoon Training Ground;;;;;;;;;;;;;x
ca_culture_delawarean_4;Dragoon Training Ground;;;;;;;;;;;;;x
ca_culture_delawarean_1_desc;The dragoons of Philadelphia, Baltimore, and Washington are a fearsome sight on the battlefield, with both horse and rider clad in heavy steel armor, armed with lances or crossbows. Few armies can withstand one of their massed charges.;;;;;;;;;;;;;x
ca_culture_maritimer_1;Gallowglass Training Ground;;;;;;;;;;;;;x
ca_culture_maritimer_2;Gallowglass Training Ground;;;;;;;;;;;;;x
ca_culture_maritimer_3;Gallowglass Training Ground;;;;;;;;;;;;;x
ca_culture_maritimer_4;Gallowglass Training Ground;;;;;;;;;;;;;x
ca_culture_maritimer_1_desc;Originally from the Maritimes, the gallowglass warriors are excellent heavy infantrymen renowned for their stubborn defense.;;;;;;;;;;;;;x
ca_culture_appalachian_1;Pike Training Ground;;;;;;;;;;;;;x
ca_culture_appalachian_2;Pike Training Ground;;;;;;;;;;;;;x
ca_culture_appalachian_3;Pike Training Ground;;;;;;;;;;;;;x
ca_culture_appalachian_4;Pike Training Ground;;;;;;;;;;;;;x
ca_culture_appalachian_1_desc;Well-disciplined Appalachian pike formations are raised here, specializing in defense.;;;;;;;;;;;;;x
