#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nick_stonewall;Stonewall;;;;;;;;;;;;;x
rise_of_consumerism;Rise of Consumerism;;;;;;;;;;;;;x
sayyid;Heir of the Prophet;;;;;;;;;;;;;x
sayyid_desc;This character is patrilineally descended from the founder of Consumerism.;;;;;;;;;;;;;x
investor;Investor;;;;;;;;;;;;;x
investor_desc;This character is descended from one of the Investors, the nine companions of the Prophet of Consumerism.;;;;;;;;;;;;;x
mirza;Heiress of the Prophet;;;;;;;;;;;;;;;;;x
mirza_desc;This character is matrilineally descended from the founder of Consumerism.;;;;;;;;;;;;;x
COMMISSIONER;Commissioner;;;;;;;;;;;;;x
FYLKIR;Fylkir;Fylkir;Fylkir;;Fylkir;;;;;;;;;x
FYLKJA;Fylkja;Fylkja;Fylkja;;Fylkja;;;;;;;;;x
FYLKIR_FOA;Your Holiness;Sa Sainteté;Eure Heiligkeit;;Su Santidad;;;;;;;;;x
LIBERATION_WAR;Liberation War;;;;;;;;;;;;;x
SUPREME_GRAND_MASTER;Supreme Grand Master;;;;;;;;;;;;;x
SUPREME_GRAND_MISTRESS;Supreme Grand Mistress;;;;;;;;;;;;;x
SUPREME_GRAND_MASTER_FOA;Your Holiness;;;;;;;;;;;;;x
HIGH_FABRICATOR;High Fabricator;;;;;;;;;;;;;x
HIGH_FABRICATOR_FEMALE;High Fabricator;;;;;;;;;;;;;x
HIGH_FABRICATOR_FOA;Your Holiness;;;;;;;;;;;;;x
THE_BOOK_OF_RUST;The Book of Rust;;;;;;;;;;;;;x
WARDEN;Warden;;;;;;;;;;;;;x
LORD_HIGH_CHAIRMAN;High Chairman;;;;;;;;;;;;;x
LORD_HIGH_CHAIRMAN_FEMALE;High Chairwoman;;;;;;;;;;;;;x
ARCHBISHOPRIC_OF;Archbishopric of;;;;;;;;;;;;;x
ARCHBISHOP_OF_CANTERBURY;Archbishop of Canterbury;;;;;;;;;;;;;x
MARKETING_CAMPAIGN;Marketing Campaign;;;;;;;;;;;;;x
HIGH_REGENT;High Regent;;;;;;;;;;;;;x
PRESIDENT;President;;;;;;;;;;;;;x
VICE_PRESIDENT;Vice President;;;;;;;;;;;;;x
FIRST_LADY;First Lady;;;;;;;;;;;;;x
FIRST_GENTLEMAN;First Gentleman;;;;;;;;;;;;;x
PRESIDENT_FOA;Your Excellency;;;;;;;;;;;;;x
GOD_HAMILTON;Hamilton;;;;;;;;;;;;;x
GENERAL;General;;;;;;;;;;;;;x
PRIME_MINISTER;Prime Minister;;;;;;;;;;;;;x
PRIME_MINISTER_FOA;Your Holiness;;;;;;;;;;;;;x
DIRECTOR;Director;;;;;;;;;;;;;x
confederated;Confederated;;;;;;;;;;;;;x
confederated_DESC;The Confederated Church of Canada was formed from the unification of the High Church and the Ursuline See. The head of the Church is the Prime Minister, who also serves as an advisor to the ruler in Ottawa.;;;;;;;;;;;;;x

job_spiritual_atomicist;Court Physicist;;;;;;;;;;;;;x
temple_baron_atomicist;Physicist;;;;;;;;;;;;;x
temple_baron_female_atomicist;Physicist;;;;;;;;;;;;;x
temple_baron_atomicists;Physicists;;;;;;;;;;;;;x
temple_barony_of_atomicist;Laboratory of;;;;;;;;;;;;;x
temple_count_atomicist;Professor;;;;;;;;;;;;;x
temple_count_female_atomicist;Professor;;;;;;;;;;;;;x
temple_county_of_atomicist;University of;;;;;;;;;;;;;x

#king_maritimer;High King;;;;;;;;;;;;;x
#king_female_maritimer;High Queen;;;;;;;;;;;;;x
#kingdom_of_maritimer;High Kingdom of;;;;;;;;;;;;;x
