#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;
CharlemagneDLC;Charlemagne;Charlemagne;Karl der Große;;Carlomagno;;;;;;;;;x;;
e_germany;Germania;Germanie;Ostfrankenreich;;Germania;;;;;;;;;x;;
e_germany_adj;German;germanique;Deutsch;;Germano;;;;;;;;;x;;
k_lotharingia;Middle Francia;Francie Médiane;Mittleres Frankenreich;;Francia Media;;;;;;;;;x;;
k_lotharingia_adj;Middle Francian;franque;Mittelfränkisch;;Francés de la Francia Media;;;;;;;;;x;;
LOTHARINGIA;Lotharingia;Lotharingie;Lothringen;;Lotaringia;;;;;;;;;x;;
LOTHARINGIA_ADJ;Lotharingian;lotharingienne;Lothringisch;;Lotaringiano;;;;;;;;;x;;
form_the_hre_early;Found the Holy Roman Empire;Fonder le Saint-Empire romain germanique;Gründet das Heilige Römische Reich;;Fundar el Sacro Imperio Romano;;;;;;;;;x;;
form_the_hre_early_desc;Is it not every [Root.GetTitle]'s dream to be recognized as the true successor to the Caesars? I can invoke the translatio imperii and have [Root.RelHead.GetBestName] crown me as ruler of a new Roman Empire in the west!;N'est-ce pas le rêve de tout [Root.GetTitle] que d'être reconnu comme étant le successeur légitime des Césars ? Je peux invoquer la translatio imperii et [Root.RelHead.GetBestName] me couronnera souverain d'un nouvel Empire Romain en Occident !;Ist es nicht der Traum jedes [Root.GetTitle], als der wahre Erbe Caesars anerkannt zu werden? Nach dem Prinzip der translatio imperii kann ich mich von [Root.RelHead.GetBestName] zum Herrscher des neuen weströmischen Reiches krönen lassen!;;¿No es el sueño de todo [Root.GetTitle] ser reconocido como el verdadero sucesor de los Césares? ¡Puedo convocar el translatio imperii y hacer que [Root.RelHead.GetBestName] me corone como gobernante del nuevo Imperio Romano de Occidente!;;;;;;;;;x;;
form_the_hre_early_tooltip_1;Is [Root.GetKingQueen] of Italy or [Root.GetEmperorEmpress] of Italia\n;[Root.GetKingQueen] d'Italie ou [Root.GetEmperorEmpress]d'Italia\n;Ist [Root.GetKingQueen] oder [Root.GetEmperorEmpress] von Italien\n;;Es [Root.GetKingQueen] de Italia o [Root.GetEmperorEmpress] de Italia\n;;;;;;;;;x;;
form_the_hre_early_tooltip_2;Holds at least one kingdom or empire title within the de jure empires of Francia, Germania, Hispania or Britannia\n;Détient au moins un royaume ou un titre d'empire parmi les empires de jure de Francie, Germanie, Hispanie ou Bretagne\n;Herrscher über mindestens ein Königreich oder Reich innerhalb des De-jure-Gebiets von Frankreich, Ostfrankenreich, Hispanien oder Britannien.\n;;Ostenta al menos un título de reino o imperio dentro de los imperios de Francia, Germania, Hispania o Britania\n;;;;;;;;;x;;
form_the_hre_early_tooltip_3;No other Christian ruler is Emperor of Italia, Francia, Germania, Hispania or Britannia\n;Aucun autre souverain chrétien n'est empereur de Francie, Germanie, Hispanie, Bretagne ou Italie\n;Kein anderer christlicher Herrscher ist Kaiser von Italien, Frankreich, Ostfrankenreich, Hispanien oder Britannien.\n;;Ningún otro gobernante cristiano es Emperador de Italia, Francia, Hispania o Britania\n;;;;;;;;;x;;
frankish;French;Français;Französisch;;Francés;;;;;;;;;x;;
old_frankish;Frankish;Franc;Fränkisch;;Franco;;;;;;;;;x;;
old_saxon;Saxon;Saxon;Sächsisch;;Sajón;;;;;;;;;x;;
lombard;Lombard;Lombard;Lombardisch;;Lombardo;;;;;;;;;x;;
visigothic;Visigothic;Wisigoth;Westgotisch;;Visigodo;;;;;;;;;x;;
somali;Somali;Somali;Somalisch;;Somalí;;;;;;;;;x;;
suebi;Suebi;Suève;Suebisch;;Suevo;;;;;;;;;x;;
ilmenian;Ilmenian;Ilmenian;Ilmenisch;;Ilmeniano;;;;;;;;;x;;
severian;Severian;Sévère;Sewerjanisch;;Severiano;;;;;;;;;x;;
volhynian;Volhynian;Drevlien;Wolynisch;;Volhyniano;;;;;;;;;x;;
d_powys;Powys;Powys;Powys;;Powys;;;;;;;;;x;;
d_powys_adj;Powys;Powys;Powyser;;Powys;;;;;;;;;x;;
BM_CHARLEMAGNE;Indian Country;;;;;;;;;;;;;x
LOMBARD_KINGDOM;Lombardy;Lombardie;Lombardei;;Lombardía;;;;;;;;;x;;
LOMBARD_KINGDOM_ADJ;Lombard;Lombard;Lombardisch;;Lombardo;;;;;;;;;x;;
WELCOME_HEADER;Welcome to Crusader Kings II;Bienvenue à Crusader Kings II;Willkommen zu Crusader Kings II;;Bienvenido a Crusader Kings II;;;;;;;;;x;;
#WELCOME_TEXT;You can play as any medieval ruler at any point in time, from a lowly count to an all-powerful emperor. When your character dies, you will need an heir to take over, and so on, down the ages. The starting situation is historical - and thus completely unbalanced. Check the difficulty estimation of a ruler before you start playing!;Vous pouvez incarner tous les souverains du Moyen Âge, quelle que soit leur période historique, de l'humble comte jusqu'à l'empereur tout puissant. Quand votre personnage mourra, vous devrez avoir un héritier pour reprendre le contrôle et faire ainsi perdurer votre royaume à travers les âges. Les situations de départ sont historiques, donc déséquilibrées. Assurez-vous de vérifier le niveau de difficulté de chaque souverain avant de commencer !;Ihr könnt zum Spielen jeden mittelalterlichen Herrscher zu jedem beliebigen Zeitpunkt auswählen, vom einfachen Grafen bis zum mächtigen Kaiser. Jedes Mal, wenn Eure Spielfigur stirbt, benötigt Ihr einen Erben, der Euer Erbe weiterführt, und so schreitet Ihr fort durch die Zeitalter. Die Ausgangssituation ist historisch und damit absolut unausgewogen. Beachtet vor dem Start eines neuen Spiels den voraussichtlichen Schwierigkeitsgrad des Herrschers, den Ihr auswählen möchtet!;;Puedes jugar como gobernante medieval de cualquier época, ya sea como modesto conde o como emperador todopoderoso. Cuando muera tu personaje, precisarás un heredero que tome el poder, y así sucesivamente a lo largo del tiempo. La situación inicial es histórica, por lo tanto totalmente desequilibrada. ¡Comprueba la estimación de dificultad de un gobernante antes de empezar a jugar!;;;;;;;;;x;;
