#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTC91355;Maybe I can appeal to [From.GetHerHis] greedy side...;Peut-être pourrai-je faire appel à son côté cupide...;Vielleicht nützt mir [From.GetHerHis] Gier ...;;Tal fez puedo atraer a [From.GetHerHis] lado codicioso;;;;;;;;;x
EVTOPTD91355;[Root.Religion.GetRandomGodName] will be pleased if I donate some gold.;[Root.Religion.GetRandomGodName] appréciera que je donne de l'or.;[Root.Religion.GetRandomGodName] wird über eine Goldspende erfreut sein.;;[Root.Religion.GetRandomGodName] estará contento si dono el oro;;;;;;;;;x
EVTOPTE91355;Maybe I can bring [From.GetHerHis] [From.Spouse.GetHusbandWife] over to my side.;Je peux probablement mettre son [From.Spouse.GetHusbandWife] de mon côté.;Vielleicht kann ich [From.GetHerHis] [From.Spouse.GetHusbandWife] auf meine Seite bringen.;;Tal fez puedo [From.GetHerHis] [From.Spouse.GetHusbandWife] a creed en mí.;;;;;;;;;x
EVTDESC91372;My agents have brought me a message from [From.GetName], who still refuses my demands that [From.GetSheHe] straighten up! [From.GetSheHe] offered to give me a strong eunuch of great martial ability as a gift if I allow [From.GetHerHim] to persist in [FromGetHerHis] decadence.;Mes agents m'ont transmis un message de [From.GetName] qui refuse encore mes exigences ! [From.GetSheHe] m'offre un eunuque qui sait bien se battre si je lui permets de persister dans sa décadence.;Meine Agenten überbrachten mir eine Nachricht von [From.GetName]. Noch immer zeigt [From.GetSheHe] keine Bereitschaft, sich zu ändern! [From.GetSheHe] bot mir einen kampferprobten Eunuchen als Geschenk an, wenn ich [From.GetHerHim] gestatte, [FromGetHerHis] Dekadenz weiter fortzuführen.;;Mis agents me han traído un mensaje de[From.GetName], queen todavía rechaza mis demandas que [From.GetSheHe] se enderece![From.GetSheHe] se ofreció darme un eunuco fuerte de gran capacidad marcial como un regal si permito que  [From.GetHerHim] persiste en su década.;;;;;;;;;x
EVTOPTA91372;I could surely use such a eunuch!;J'aurais bien besoin d'un eunuque !;Ein solcher Eunuch käme wie gerufen!;;¡yo podría seguramente usar a tal eunuco!;;;;;;;;;x
EVTDESC91373;[From.GetName] talked to me about how [From.GetSheHe] has chosen to live [From.GetHerHis] own life. [From.GetSubjectPronounCap] tried to explain to me me that what I have viewed as decadence was merely a different way of honoring [From.Religion.GetRandomGodName]'s will. [From.GetSheHe] also offered to make a religious donation in my name as a gesture of friendship.;[From.GetName] m'a parlé de ses choix de vie. [From.GetSubjectPronounCap] a tenté de m'expliquer que ce que je considérais comme de la décadence n'était qu'une autre manière d'honorer la volonté de [From.Religion.GetRandomGodName]. En témoignage de son amitié, [From.GetSheHe] m'a proposé de faire un don en mon nom.;[From.GetName] erzählte mir, wie [From.GetSheHe] sich entschied, [From.GetHerHis] eigenes Leben zu leben. [From.GetSubjectPronounCap] erklärte mir, dass das, was ich als Dekadenz ansehen würde, lediglich eine andere Weise sei, den Willen von [From.Religion.GetRandomGodName] zu tun. [From.GetSheHe] bot mir auch an, als Zeichen der Freundschaft in meinem Namen für religiöse Zwecke zu spenden.;;[From.GetName] me hablaba sobre cómo [From.GetSheHe] ha optado por vivir[From.GetHerHis] propria vida. [From.GetSubjectPronounCap] trató de explicarme que lo que yo he visto como decadencia fue simplemente otra forma de honrar a [From.Religion.GetRandomGodName];;;;;;;;;x
EVTOPTA91373;Such a donation would surely please [From.Religion.GetRandomGodName].;[From.Religion.GetRandomGodName] ne sera sans doute pas contre ce don.;Eine solche Spende gefiele sicherlich [From.Religion.GetRandomGodName].;;Tal donación complacería seguramente a [From.Religion.GetRandomGodName];;;;;;;;;x
EVTDESC91374;[From.GetName] came to my chambers and whispered pretty words in my ear. [Root.Spouse.GetName] insists that [From.GetHeShe] ought to be thrown in jail due to [From.GetHerHis] decadent ways, but [From.GetName] now seems to be very different from what I had heard.;[From.GetName] vint me voir pour me chuchoter de douces paroles à l'oreille. [Root.Spouse.GetName] insiste pour qu'[From.GetHeShe] fasse un tour en prison, en raison de ses mœurs décadentes. Mais [From.GetName] ne se comporte pas du tout comme ce que l'on m'avait décrit.;[From.GetName] suchte mich nachts auf, um mir wohlklingende Worte einzuflüstern. [Root.Spouse.GetName] besteht darauf, dass [From.GetHeShe] unbedingt im Kerker landen muss, denn [From.GetHerHis] Lebensweise sei dekadent. Doch nun scheint [From.GetName] völlig anders zu sein, als man mir berichtete.;;[From.GetName] vino a mis cámaras y susurró palabras bonitas en mi oído.[Root.Spouse.GetName] insiste en que [From.GetHeShe] debería ser lanzado en la cárcel debido a sus costumbres decadentes, pero [From.GetName] ahora parece ser muy diferente de lo que había oído. ;;;;;;;;;x
EVTOPTA91374;I have fallen in love!;L'amour est venu me visiter !;Ich habe mich verliebt!;;¡Me he enamorado!;;;;;;;;;x
EVTOPTB91374;This is clearly just an act!;Ce n'est qu'un subterfuge !;Bestimmt ist es bloß Schau!;;¡Esto es claramente justo un acto!;;;;;;;;;x
EVTDESC91375;My spouse is upset about what [From.GetSheHe] refers to as my unnecessarily harsh attitude towards [FromFrom.GetName] and [FromFrom.GetHerHis] decadent ways, and asks me to leave [FromFrom.GetHerHim] alone.;Ma douce moitié n'accepte pas ce qu'[From.GetSheHe] décrit comme ma cruauté superflue envers [FromFrom.GetName] et ses manières décadentes, et me demande de cesser mes remarques désobligeantes.;Mein Gespons stört sich an meiner, wie [From.GetSheHe] meint, angeblich unnötig strengen Haltung gegenüber [FromFrom.GetName] und [FromFrom.GetHerHis] dekadenten Lebensstil und bittet mich, [FromFrom.GetHerHim] in Ruhe zu lassen.;;Mi cónyuge a [From.GetSheHe] se disgusta por lo que se refiere como un actitud innecesariamente áspera hacia [FromFrom.GetName] y sus costumbres decadentes de [FromFrom.GetHerHis] y me pide dejar a [FromFrom.GetHerHim] en paz.;;;;;;;;;x
