#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#MODIFIER_COMBAT_RATING;Combat Rating;Classement de combat;Kampfkraft;;Clasificación de combate;;;;;;;;;x
CR_DIFF_LOWER_THAN;Combat Rating Difference between §Y$FIRST$§! and §Y$SECOND$§! lower than §Y$VAL$§!;La différence de classement de combat entre §Y$FIRST$§! et §Y$SECOND$§! est inférieure à §Y$VAL$§ !;Kampfkraftunterschied zwischen §Y$FIRST$§! und §Y$SECOND$§! niedriger als §Y$VAL$§!;;Clasificación de combate entre §Y$FIRST$§!y §Y$SECOND$§! §Y$VAL$§! menor que §Y$VAL$§!;;;;;;;;;x
CR_DIFF_AT_LEAST;Combat Rating Difference between §Y$FIRST$§! and §Y$SECOND$§! at least §Y$VAL$§!;La différence de classement de combat entre §Y$FIRST$§! et §Y$SECOND$§! est d'au moins §Y$VAL$§ !;Kampfkraftunterschied zwischen §Y$FIRST$§! und §Y$SECOND$§! mindestens §Y$VAL$§!;;Clasificación de combate entre §Y$FIRST$§!y §Y$SECOND$§! y §Y$VAL$§! por lo menos §Y$VAL$§!;;;;;;;;;x
HAS_CR_AT_LEAST;Combat Rating at least ;Classement de combat d'au moins ;Mindestkampfkraft ;;Clasificación de combate al menos;;;;;;;;;x
HAS_LOWER_CR_THAN;Combat Rating lower than ;Classement de combat inférieur à ;Kampfkraft niedriger als ;;Clasificación de combate menor;;;;;;;;;x
MASTER;master;maître;Herr;;señor;;;;;;;;;x
MISTRESS;mistress;maîtresse;Herrin;;señora;;;;;;;;;x
wol_schemer_1;Amateur Schemer;Conspirateur amateur;Hobby-Intrigant;;Intrigante aficionado;;;;;;;;;x
desc_wol_schemer_1;This character is an aspiring schemer who seeks to manipulate others through deceit and subterfuge.;Ce personnage est un conspirateur amateur qui cherche à manipuler son entourage à l'aide de subterfuges et de coups bas.;Diese Person ist ein angehender Intrigant und trachtet danach, andere durch Täuschung und Tricks zu manipulieren.;;Este personaje es un aspirante a intrigante que trata manipular a otros a través del engaño y subterfugio.;;;;;;;;;x
wol_schemer_2;Schemer;Conspirateur;Intrigant;;Intrigante;;;;;;;;;x
desc_wol_schemer_2;This character is an experienced schemer, plotter and shadowy puppetmaster.;Ce personnage est un conspirateur expérimenté, ainsi qu'un comploteur et un tireur de ficelles.;Diese Person ist ein erfahrener Intrigant und Verschwörer mit manipulativen Talenten.;;Este personaje es un experimentado intrigante, conspirador y manipulador en las sombras.;;;;;;;;;x
wol_patriarch_1;Family Man;Homme de famille;Familienmensch;;Padre de familia;;;;;;;;;x
desc_wol_patriarch_1;This man is devoted to the harmony and well-being of his family.;Cet homme est dévoué à maintenir l'harmonie et le bon état de sa famille.;Diesem Mann liegt die Harmonie und das Wohlergehen seiner Familie am Herzen.;;Este hombre se dedica a la armonía y el bienestar de su familia.;;;;;;;;;x
wol_patriarch_2;Family Patriarch;Patriarche de la famille;Patriarch;;Patriarca familiar;;;;;;;;;x
desc_wol_patriarch_2;This man is the undisputed head of the family, resolving conflicts and leading with a firm but gentle hand.;Cet homme est le chef incontesté de la famille, et s'applique à résoudre les conflits d'une main de fer dans un gant de velours.;Dieser Mann ist das unumstrittene Familienoberhaupt, er schlichtet Konflikte und führt mit Nachdruck, aber sanft.;;Este hombre es el jefe indiscutible de la familia, resolviendo conflictos y dirigiendo con mano firme pero suave.;;;;;;;;;x
wol_matriarch_1;Family Woman;Femme de famille;Familienmensch;;Mujer de familia;;;;;;;;;x
desc_wol_matriarch_1;This woman is devoted to the harmony and well-being of her family.;Cette femme est dévouée à maintenir l'harmonie et le bon état de sa famille.;Dieser Frau liegt die Harmonie und das Wohlergehen ihrer Familie am Herzen.;;Esta mujer se dedica a la armonía y el bienestar de su familia.;;;;;;;;;x
wol_matriarch_2;Family Matriarch;Matriarche de la famille;Matriarchin;;Matriarca familiar;;;;;;;;;x
desc_wol_matriarch_2;This woman is the undisputed head of the family, resolving conflicts and leading with a firm but gentle hand.;Cette femme est la chef incontestée de la famille, et s'applique à résoudre les conflits d'une main de fer dans un gant de velours.;Diese Frau ist das unumstrittene Familienoberhaupt, sie schlichtet Konflikte und führt mit Nachdruck, aber sanft.;;Esta mujer es la jefa indiscutible de la familia, resolviendo conflictos y dirigiendo con mano firme pero suave.;;;;;;;;;x
schemer;Master Schemer;Maître conspirateur;Meister-Intrigant;;Intrigante maestro;;;;;;;;;x
break_up_with_lover;Break up;Rompre;Zerwürfnis;;Ruptura;;;;;;;;;x
break_up_with_lover_desc;Your love affair with [Root.GetTitledFirstNameNoRegnal] is ended.;Votre liaison avec [Root.GetTitledFirstNameNoRegnal] est terminée.;Eure Liebesaffäre mit [Root.GetTitledFirstNameNoRegnal] ist vorbei.;;Tu relación amorosa con [Root.GetTitledFirstNameNoRegnal] se ha terminado.;;;;;;;;;x
opinion_whorespawn;Whorespawn;Enfant de putain;Hurengezücht;;Prole de zorra;;;;;;;;;x
opinion_seduced_once;Seduced;Séduit(e);Verführt;;Seducido;;;;;;;;;x
opinion_seduced_lustful_worship;Lustful Worship;Adoration lubrique;Lustvolle Verehrung;;Adoración lujuriosa;;;;;;;;;x
opinion_seducing_concubine;Seducing;Séduction;Verführend;;Seducir;;;;;;;;;x
opinion_regicide_traitor;Murderous Traitor;Traître meurtrier;Mordgieriger Verräter;;Traidor asesino;;;;;;;;;x
seduced_loyal_bodyguard;Bodyguard Lover;Charmeuse de gardes du corps;Leibwächter-Liebhaber;;Amante de guardaespaldas;;;;;;;;;x
desc_seduced_loyal_bodyguard;Through seduction, this character has secured the most loyal bodyguard imaginable.;Grâce à ses talents de séduction, ce personnage a réussi à se procurer les meilleures gardes du corps.;Durch Verführungskünste hat diese Person sich den denkbar treuesten Leibwächter zugelegt.;;Mediante la seducción, este personaje ha conseguido el guardaespaldas más leal imaginable.;;;;;;;;;x
seduced_loyal_spy_maid;Maidservant Lover;Charmeur de domestiques;Magd-Geliebte;;Amante de sirvientas;;;;;;;;;x
desc_seduced_loyal_spy_maid;This character has seduced a maid with a quick mind and an ample bosom, using her to spy and snoop around at court.;Ce personnage a séduit une domestique dotée d'une forte poitrine et d'un esprit vif, et l'utilise pour espionner les autres membres de la cour.;Diese Person hat eine Magd mit rascher Auffassungsgabe und wogendem Busen verführt. Diese schnüffelt und spioniert nun bei Hofe.;;Este personaje ha seducido a una doncella de mente rápida y amplio pecho, usándola para espiar y fisgonear por la corte.;;;;;;;;;x
minor_disease_herpes;Lover's Pox;Bouton de fièvre;Lustbläschen;;Viruela de amante;;;;;;;;;x
desc_minor_disease_herpes;This character periodically suffers from embarrassing and unsightly blisters.;Ce personnage souffre périodiquement de cloques embarrassantes et disgracieuses.;Diese Person leidet regelmäßig unter peinlichen und unansehnlichen Bläschen.;;Este personaje sufre periódicamente de ampollas embarazosas y antiestéticas.;;;;;;;;;x
DAMNATION;Damnation;Damnation;Verdammung;;¡Maldición!;;;;;;;;;x
EVTDESC6031_ALL;As the [Root.Religion.GetPriestTitle] slowly pulled me out of the holy spring, the water started boiling and frothing, paint running off the arcane runes smeared on my naked body. Filled with wonder, I realized that the gibbering voices in my head had finally fallen silent!;Alors que [Root.Religion.GetPriestTitle] me retirait lentement de la fontaine bénie, l'eau s'est mise à bouillir violemment, tandis que la peinture coulait sur les runes arcaniques dessinées sur mon corps nu. Hystérique, je me suis rendu compte que ces voix folles que j'avais en tête s'étaient enfin tues !;Als der/die [Root.Religion.GetPriestTitle] mich langsam aus der heiligen Quelle zog, begann das Wasser zu kochen und zu schäumen. Die arkanen Runen, die auf meinen nackten Körper geschmiert worden waren, verliefen. Voller Verwunderung stellte ich fest, dass die wirren Stimmen in meinem Kopf endlich verstummt waren!;;Cuando el [Root.Religion.GetPriestTitle] me sacó lentamente de la fuente sagrada, el agua comenzó a hervir y espumar, la pintura de las runas arcanas corrió por mi cuerpo desnudo. ¡Maravillado, me di cuenta de que el barullo de voces de mi cabeza había callado definitivamente!;;;;;;;;;x
EVTDESC38309;The fog in my mind has lifted. I realize now that I used to be a Lunatic!;Le brouillard autrefois présent dans mon esprit s'est dissipé. Maintenant, tout est clair : j'étais lunatique !;Meine geistige Benommenheit ist verschwunden. Mir wird klar, dass ich bisher als verrückt hatte gelten müssen!;;La niebla en mi mente se ha levantado. ¡Ahora comprendo que me solía ser un lunático!;;;;;;;;;x
EVTDESC38310;I have lost my absolute convictions and try to keep an open mind. I have lost the Zealous trait.;J'ai perdu toutes mes convictions, et j'essaie de garder l'esprit ouvert. J'ai perdu la caractéristique Zélé.;Ich habe meine absoluten Überzeugungen verloren und versuche, offen zu sein. Ich habe die Eigenschaft Eifernd verloren.;;He perdido mis convicciones absolutas y trato de mantener una mentalidad abierta. He perdido el rasgo celoso.;;;;;;;;;x
EVTDESC38311;My frank bluntness won't get me into trouble anymore - I have lost the Honest trait.;Ma franchise ne me causera plus jamais de problèmes. J'ai perdu la caractéristique Honnête.;Meine unverblümte Direktheit wird mir keinen Ärger mehr einbringen – ich habe die Eigenschaft Ehrlich verloren.;;Mi franca torpeza no me volverá a causar problemas. He perdido el rasgo Honesto.;;;;;;;;;x
EVTDESC38312;I have learned to take pride in my actions and in my great family. I have lost the Humble trait.;J'ai appris à avoir confiance en mes actions et ma formidable famille. J'ai perdu la caractéristique Humble.;Ich habe gelernt, stolz auf meine Taten und auf meine großartige Familie zu sein. Ich habe die Eigenschaft Bescheiden verloren.;;He aprendido a enorgullecerme de mis acciones y mi gran familia. He perdido el rasgo humilde.;;;;;;;;;x
EVTOPTC64130;Life is good!;La vie est belle !;So lässt es sich leben!;;¡La vida es buena!;;;;;;;;;x
EVTDESC_WOL_40;This morning I woke up with a painful itch. It seems [Root.Religion.GetRandomGodName] has seen fit to blight me with a minor pox for my sinful activities.;Ce matin, je me suis réveillé(e) avec des démangeaisons douloureuses. Il semblerait que [Root.Religion.GetRandomGodName] a jugé que je méritais de souffrir d'une maladie vénérienne pour me punir de mes activités répréhensibles.;Heute morgen wachte ich mit einem schmerzhaften Juckreiz auf. Es scheint [Root.Religion.GetRandomGodName] zu behagen, mich für meine sündigen Aktivitäten mit einer leichten Infektion zu plagen.;;Esta mañana me desperté con una picazón dolorosa. Parece que [Root.Religion.GetRandomGodName] ha visto adecuado plagarme con una viruela menor por mis actividades pecadoras.;;;;;;;;;x
EVTDESC_WOL_40_NC;This morning I woke up with a painful itch... it seems I have contracted Lover's Pox.;Ce matin, je me suis réveillé(e) avec des démangeaisons douloureuses... Il semblerait que j'ai des boutons de fièvres.;Diesen Morgen wachte ich mit einem schmerzhaften Juckreiz auf... es scheint, als hätte ich mir die Lustbläschen eingefangen.;;Esta mañana me desperté con una picazón dolorosa... parece que he adquirido la viruela del amante.;;;;;;;;;x
EVTDESC_WOL_500;My confessor, [target_priest.GetTitledName] is such an attractive [target_priest.GetManWoman]! I've applied my ample charms and can tell [target_priest.GetSubjectPronoun] is thinking of other things than [target_priest.Religion.GetRandomGodName]!;Mon confesseur, [target_priest.GetTitledName] est simplement à tomber ! J'ai travaillé mes charmes, et je peux voir qu'[target_priest.GetSubjectPronoun] en oublie parfois [target_priest.GetRandomGodName] !;Meine Beichtperson, [target_priest.GetTitledName], ist so attraktiv! Ich habe meinen umwerfenden Charme spielen lassen und sehe deutlich, dass [target_priest.GetSubjectPronoun] an andere Dinge als [target_priest.GetRandomGodName] denkt!;;Mi confesor, [target_priest.GetTitledName] es una/un [target_priest.GetManWoman] atractiva/atractivo! ¡He aplicado mis extensos encanto y puedo decir que [target_priest.GetSubjectPronoun] está pensando en otras cosas que [target_priest.GetRandomGodName]!;;;;;;;;;x
EVTOPTA_WOL_500;Give [target_priest.GetObjectPronoun] a taste of what [target_priest.GetSubjectPronoun] is missing!;Lui donner un avant-goût de ce qu'[target_priest.GetSubjectPronoun] manque !;Gebt [target_priest.GetObjectPronoun] einen Vorgeschmack darauf, was [target_priest.GetSubjectPronoun] versäumt!;;¡Dale una prueba de lo que se está perdiendo!;;;;;;;;;x
