#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
title_court_poet;Poet Laureate;;;;;;;;;;;;;x
title_court_poet_desc;The title of Poet Laureate carries a great deal of respect and prestige.;;;;;;;;;;;;;x
title_postmaster;Postmaster;;;;;;;;;;;;;x
title_postmaster_desc;The Postmaster is responsible for conveying the ruler's messages throughout the realm.;;;;;;;;;;;;;x
title_chief_justice;Chief Justice;;;;;;;;;;;;;x
title_chief_justice_desc;The Chief Justice is the supreme judge of the realm, responsible for adjudicating all Constitutional disputes. The most prestigious of all Americanist honorary titles, it is only open to characters with a proper legal education.;;;;;;;;;;;;;x
title_captain_of_industry;Captain of Industry;;;;;;;;;;;;;x
title_captain_of_industry_desc;The Captain of Industry is responsible for safeguarding the industrial ruins of the realm.;;;;;;;;;;;;;x
title_chief_architect;Chief Architect;Architecte en chef;Chef-Architekt;;Arquitecto Jefe;;;;;;;;;x;
title_chief_architect_desc;The Chief Architect is responsible for designing and overseeing the construction of palaces, courts, and grand monuments.;L'architecte en chef est chargé de la création et de la surveillance de la construction des palais, mosquées et autres grands monuments.;Der Chef-Architekt ist für die Planung und Beaufsichtigung beim Bau von Palästen, Moscheen und großen Denkmälern verantwortlich.;;El Arquitecto Jefe es responsable de diseñar y supervisar la construcción de palacios, mezquitas y grandes monumentos.;;;;;;;;;x;

EVTDESC105010;I grow more worried for every day no Chief Justice has been selected. It is as if [Root.Liege.GetTitledFirstName] does not care if just judgement is brought to those who deserve it!;Cela m'inquiète car les jours passent mais aucun cadi n'a été désigné. C'est comme si [Root.Liege.GetTitledFirstName] n'avait pas envie qu'un jugement juste et équitable puisse être rendu à ceux qui le méritent !;Mit jedem Tag an dem noch kein Ober-Kadi gewählt worden war, stieg meine Besorgnis. Es schien so, als interessiere es [Root.Liege.GetTitledFirstName] garnicht, ob die Gerechtigkeit bekommen, die es verdienen! ;;Cada día me preocupaba más que no se hubiera elegido un Cadí Jefe. Es como si a [Root.Liege.GetTitledFirstName] no le importará si el buen juicio solo se le otorga a quienes lo merecen;;;;;;;;;x;
EVTOPTA105010;I should suggest one of my courtiers!;Je devrais proposer l'un de mes courtisans !;Ich sollte einen meiner Höflinge vorschlagen!;;¡Debería sugerir a uno de mis cortesanos!;;;;;;;;;x;
EVTTOOLTIP105011;[Root.GetTitledFirstName] suggests a suitable person for the post of Chief Justice;[Root.GetTitledFirstName] propose le nom d'une personne tout à fait respectable pour le poste de cadi;[Root.GetTitledFirstName] schlägt eine passende Person für den Posten des Ober-Kadi vor ;;¡[Root.GetTitledFirstName] sugiere a una persona apropiada para la posición de Cadí Jefe!;;;;;;;;;x;
EVTOPTB105010;I would be the best candidate!;Je suis le meilleur candidat !;Ich wäre der beste Kandidat! ;;¡Sería el mejor candidato!;;;;;;;;;x;
EVTOPTC105010;One of [Root.Liege.GetTitledFirstName]'s vassals would be most suitable;L'un des vassaux de [Root.Liege.GetTitledFirstName] serait plus adapté;Einer von [Root.Liege.GetTitledFirstName]s Vasallen wäre passender ;;Uno de los vasallos de [Root.Liege.GetTitledFirstName] sería el más adecuado;;;;;;;;;x;
EVTOPTD105010;Surely [Root.Liege.GetTitledFirstName] already knows the best person for Chief Justice;[Root.Liege.GetTitledFirstName] sait sûrement qui ferait l'affaire au poste de cadi;Sicherlich kennt [Root.Liege.GetTitledFirstName] bereits die beste Person für den Posten des Ober-Kadi;;Seguramente [Root.Liege.GetTitledFirstName] ya sabe quién es la mejor persona para ser Cadí Jefe;;;;;;;;;x;
EVTDESC105011;[From.GetTitledFirstName] worries that the people of my realm lack just judgement when I still haven't chosen a Chief Justice to take care of all legal matters. To ease [From.GetHerHis] worry, [From.GetTitledFirstName] came to me and suggested someone who [From.GetSheHe] believe would make an excellent Chief Justice.;[From.GetTitledFirstName] craint que mon peuple ne souffre de jugements inéquitables parce que je n'ai toujours pas désigné de cadi pour s'occuper des affaires de justice. Afin de résoudre ce problème qui l'inquiète, [From.GetTitledFirstName] m'a soumis le nom d'une personne qui ferait un excellent cadi.;[From.GetTitledFirstName] fürchtet, dass es den Menschen meines Reichs an Gerechtigkeit mangeln würde, wenn ich weiterhin keinen Ober-Kadi wählen würde, der sich um alle rechtlichen Dinge kümmert. Um [From.GetHerHis] Sorgen zu lindern, kam [From.GetTitledFirstName] zu mir und schlug mir jemanden vor, von dem [From.GetSheHe] überzeugt war, dass er einen exzelleten Ober-Kadi abgeben würde. ;;A [From.GetTitledFirstName] le preocupa que a las personas del reino les falte el buen juicio cuando todavía no haya seleccionado a un ?jefe de los cadíes para que se ocupe de todos los asuntos legales. Para calmar sus preocupaciones, [From.GetTitledFirstName] se presentó ante mí y me sugirió a alguien que creía que podía ser un excelenteCadí Jefe.;;;;;;;;;x;
EVTOPTA105011;Yes, that courtier would be perfect;C'est vrai, ce courtisan est le candidat idéal;Ja, dieser Höfling wäre perfekt ;;Sí, ese cortesano sería perfecto;;;;;;;;;x;
EVTTOOLTIP105012;[Root.GetTitledFirstName] accepts [This.GetTitledFirstName] as [Root.GetHerHis] new Chief Justice;[Root.GetTitledFirstName] accepte que [This.GetTitledFirstName] devienne le nouveau cadi;[Root.GetTitledFirstName] akzeptiert [This.GetTitledFirstName] als [Root.GetHerHis] neuen Ober-Kadi ;;[Root.GetTitledFirstName] acepta a [This.GetTitledFirstName] como su nuevo Cadí Jefe;;;;;;;;;x;
EVTOPTB105011;No, they won't do;Non, il ne fera pas l'affaire;Nein, er passt nicht;;No, imposible;;;;;;;;;x;
EVTTOOLTIPA105013;[Root.GetTitledFirstName] dismisses [This.GetTitledFirstName]'s candidate;[Root.GetTitledFirstName] rejette le candidat proposé par [This.GetTitledFirstName];[Root.GetTitledFirstName] lehnt [This.GetTitledFirstName]s Kandidaten ab;;[Root.GetTitledFirstName] descarta al candidato de [This.GetTitledFirstName];;;;;;;;;x;
EVTOPTC105011;Yes, [From.GetTitledFirstName], you would be a perfect Chief Justice!;Oui, [From.GetTitledFirstName], vous serez un cadi idéal !;Ja, [From.GetTitledFirstName] wäre der perfekte Ober-Kadi! ;;¡Sí, [From.GetTitledFirstName], será un excelente Cadí Jefe!;;;;;;;;;x;
EVTTOOLTIPA105014;is granted the title of Chief Justice;est promu au rang de cadi;wird der Titel des Ober-Kadi verliehen ;;se le ha otorgado el título de Cadí Jefe;;;;;;;;;x;
EVTOPTD105011;No, I will not grant you the title of Chief Justice;Non, je refuse de vous promouvoir cadi;Nein, ich werde Euch nicht den Titel des Ober-Kadi verleihen ;;No, no te daré el título de Cadí Jefe;;;;;;;;;x;
EVTTOOLTIPB105014;[Root.GetTitledFirstName] refuses to make [This.GetTitledFirstName] Chief Justice;[Root.GetTitledFirstName] refuse d'accorder le poste de cadi à [This.GetTitledFirstName];[Root.GetTitledFirstName] weigert sich, [This.GetTitledFirstName] zum Ober-Kadi zu ernennen ;;[Root.GetTitledFirstName] rechaza hacer a [This.GetTitledFirstName] Cadí Jefe;;;;;;;;;x;
EVTOPTE105011;I agree, they would make an excellent Chief Justice;Je suis d'accord, il ferait un cadi parfait;Ich stimme zu, dass er ein exzellenter Ober-Kadi sein würde ;;Estoy de acuerdo, será un excelente Cadí Jefe;;;;;;;;;x;
EVTOPTF105011;No, they will not become Chief Justice;Non, il ne deviendra pas cadi;Nein, er wird nicht Ober-Kadi werden ;;No, él no será el Cadí Jefe;;;;;;;;;x;
EVTDESC105012;I had no idea [FromFrom.GetTitledFirstName] would suggest me as [From.GetTitledFirstName]'s new Chief Justice! The letter congratulating me to my new position and the order to appear before [From.GetTitledFirstName] as soon as possible was bewildering, I almost did not believe it at first.;J'ignorais totalement que [FromFrom.GetTitledFirstName] soumettrait mon nom pour le poste de cadi de [From.GetTitledFirstName] ! La lettre de félicitations me demandant de me présenter au plus tôt chez [From.GetTitledFirstName] m'a abasourdi, j'ai même cru à une blague, au début !;Ich hatte keine Ahnung, dass [FromFrom.GetTitledFirstName] mich als [From.GetTitledFirstName]s neuen Ober-Kadi vorschlagen würde! Das Gratulationsschreiben zu meiner neuen Position und die Anweisung, so schnell wie möglich vor [From.GetTitledFirstName] zu erscheinen, war verwirrend und ich konnte es zuerst garnicht glauben. ;;No tenía la menor idea de que [FromFrom.GetTitledFirstName] me sugeriría como el nuevo Cadí Jefe de [From.GetTitledFirstName]. La carta en que se me felicitaba por mi nueva posición y la orden de comparecer ante ???[From.GetTitledFirstName] lo antes posible me dejaron perplejo, casi no lo podía creer.;;;;;;;;;x;
EVTOPTA105012;Thank you, [FromFrom.GetTitledFirstName]!;Merci, [FromFrom.GetTitledFirstName] !;Habt Dank, [FromFrom.GetTitledFirstName]!;;¡Gracias, [FromFrom.GetTitledFirstName]!;;;;;;;;;x;
EVTTOOLTIPB105013;The new Chief Justice, [Root.GetTitledFirstName], thanks [This.GetTitledFirstName];Le nouveau cadi, [Root.GetTitledFirstName], remercie [This.GetTitledFirstName];Der neue Ober-Kadi, [Root.GetTitledFirstName], dankt [This.GetTitledFirstName];;El nuevo Cadí Jefe, [Root.GetTitledFirstName], agradece a [This.GetTitledFirstName];;;;;;;;;x;
EVTDESC105013;I suggested that [From.GetTitledFirstName] would be [Root.Liege.GetTitledFirstName]'s new Chief Justice and waited with bated breath as [Root.Liege.GetTitledFirstName] pondered this.;J'ai proposé que [From.GetTitledFirstName] devienne le nouveau cadi de [Root.Liege.GetTitledFirstName] et retenu mon souffle pendant que [Root.Liege.GetTitledFirstName] réfléchissait à la question.;Ich schlug vor, dass [From.GetTitledFirstName] [Root.Liege.GetTitledFirstName]s neuer Ober-Kadi werden solle und wartete mit angehaltem Atem, während [Root.Liege.GetTitledFirstName] darüber nachdachte.;;Le sugerí que [From.GetTitledFirstName] fuera ??el nuevo ??jefe de los cadíes de [Root.Liege.GetTitledFirstName], y esperé con el aliento contenido mientras [Root.Liege.GetTitledFirstName] lo pensaba. ;;;;;;;;;x;
EVTOPTA105013;[Root.Liege.GetSheHeCap] accepted my candidate as Chief Justice!;[Root.Liege.GetSheHeCap] a choisi le candidat que j'ai proposé pour devenir nouveau cadi !;[Root.Liege.GetSheHeCap] akzeptiert meinen Kandidaten für den Posten des Ober-Kadi! ;;¡Aceptó a mi candidato como Cadí Jefe!;;;;;;;;;x;
EVTOPTB105013;[Root.Liege.GetTitledFirstName] dismissed my suggestion...;[Root.Liege.GetTitledFirstName] a rejeté ma proposition...;[Root.Liege.GetTitledFirstName] lehnte meinen Vorschlag ab... ;;[Root.Liege.GetTitledFirstName] rechazó mi sugerencia...;;;;;;;;;x;
EVTDESC105014;It felt preposterous, almost insulting, to suggest myself as the new Chief Justice for [From.GetTitledFirstName] but there were no better candidate I could have thought of than myself.;Je trouve grotesque, même insultant, d'avoir soumis mon nom pour le poste de cadi auprès de [From.GetTitledFirstName], mais j'avoue être le meilleur candidat possible.;Es war grotesk, beinahe beleidigend, mich als neuen Ober-Kadi für [From.GetTitledFirstName] vorzuschlagen, aber es gab keine besseren Kandidaten außer mir, die mir eingefallen wären.;;Fue ridículo y hasta casi un insulto sugerirme a mí mismo como el nuevo ???Cadí Jefe para ?[From.GetTitledFirstName], pero no pude pensar en ningún otro candidato mejor que yo.  ;;;;;;;;;x;
EVTOPTA105014;I am the new Chief Justice! Fear my justice!;Je suis le nouveau cadi ! La justice, c'est moi !;Ich bin der neue Ober-Kadi! Fürchtet meine Gerechtigkeit!;;¡Soy el nuevo Cadí Jefe! ¡Temed mi justicia!;;;;;;;;;x;
EVTOPTB105014;[From.GetTitledFirstName] did not want me as Chief Justice;[From.GetTitledFirstName] n'a pas voulu de moi en tant que cadi;[From.GetTitledFirstName] wollte mich nicht als Ober-Kadi ;;[From.GetTitledFirstName] no me quería como Cadí Jefe;;;;;;;;;x;


EVTDESC105020;[Root.Liege.GetTitledFirstName]'s choice for the Chief Justice position is disastrous! The man's judgement is severely distorted and there will be no justice as long as he holds the post!;La personne qu'a choisie [Root.Liege.GetTitledFirstName] pour le rôle de cadi est une vraie calamité ! Le jugement de cet homme est gravement faussé et tant qu'il occupera ce poste, justice ne sera jamais rendue.;[Root.Liege.GetTitledFirstName]s Wahl für den Posten des Ober-Kadi ist desaströs! Die Urteile dieses Mannes sind fürchterlich verdreht und es wird keine Gerechtigkeit geben, solange er den Posten inne hat!;;¡La elección de [Root.Liege.GetTitledFirstName] para el puesto de Cadí Jefe es desastrosa! El juicio del hombre está severamente distorsionado y no habrá justicia mientras se mantenga en el puesto;;;;;;;;;x;
EVTOPTA105020;Even this courtier would be better as Chief Justice!;Même ce modeste courtisan ferait un meilleur cadi !;Sogar dieser Höflung wäre besser als Ober-Kadi geeignet! ;;¡Hasta este cortesano sería un mejor Cadí Jefe!;;;;;;;;;x;
EVTTOOLTIP105021;[Root.GetTitledFirstName] suggests a more suitable person for the post of Chief Justice;[Root.GetTitledFirstName] propose une personne plus adaptée pour le poste de cadi;[Root.GetTitledFirstName] schlägt eine passendere Person für den Posten des Ober-Kadi vor ;;[Root.GetTitledFirstName] sugiere a una persona más apropiada para la posición de Cadí Jefe;;;;;;;;;x;
EVTOPTB105020;Why, even I would make a better Chief Justice!;Même moi, je ferais un meilleur cadi !;Warum, selbst ich wäre ein besserer Ober-Kadi! ;;¡Por qué, hasta yo haría mejor trabajo como Cadí Jefe!;;;;;;;;;x;
EVTOPTC105020;I know a vassal of [Root.Liege.GetTitledFirstName] who would be better;Je connais un vassal de [Root.Liege.GetTitledFirstName] qui serait plus à sa place dans cette fonction;Ich kenne einen von [Root.Liege.GetTitledFirstName]s Vasallen, der besser wäre ;;Conozco a un vasallo de [Root.Liege.GetTitledFirstName] que sería mejor;;;;;;;;;x;
EVTOPTD105020;Quench my anger and do nothing;Ravaler ma colère et ne rien faire;Meinen Ärger abkühlen lasse und nichts tun ;;Aplacad mi ira y no hagáis nada;;;;;;;;;x;
EVTDESC105021;Fuming with anger at what [From.GetTitledFirstName] called 'another disastrous judgement of your Chief Justice!', [From.GetTitledFirstName] suggested I would choose another person for the very important position of Chief Justice.;Fou de colère suite à ce que [From.GetTitledFirstName] a qualifié de 'nouveau jugement désastreux de votre cadi', [From.GetTitledFirstName] a proposé que je nomme quelqu'un d'autre au poste, très important, de cadi.;Schäumend vor Wur über das was [From.GetTitledFirstName] "eine weitere desaströse Entscheidung Eures Ober-Kadi!" nannte, schlug mir [From.GetTitledFirstName] vor, dass ich eine andere Person für diese sehr wichtige Position eines Ober-Kadi wählen solle. ;;Lleno de rabia por lo que ???[From.GetTitledFirstName] llamó 'otra decisión desastrosa de tu Cadí Jefe', [From.GetTitledFirstName] sugirió que eligiera a otra persona para prominente cargo de Cadí Jefe.;;;;;;;;;x;
EVTOPTA105021;You are right, your courtier would be a better choice;Vous avez raison, votre courtisan serait plus à même d'occuper cette fonction;Ihr habt Recht, Euer Höfling wäre die bessere Wahl ;;Tienes razón, tu cortesano sería una mejor opción;;;;;;;;;x;
EVTTOOLTIP105025;The former Chief Justice, [This.GetTitledFirstName], is dismissed from the position;L'ancien cadi, [This.GetTitledFirstName], est démis de ses fonctions;Der frühere Ober-Kadi, [This.GetTitledFirstName], wird von seiner Position entlassen ;;El antiguo Cadí Jefe, [This.GetTitledFirstName], es despedido del cargo;;;;;;;;;x;
EVTTOOLTIP105022;The new Chief Justice is [This.GetTitledFirstName];Le nouveau cadi se prénomme [This.GetTitledFirstName];Der neue Ober-Kadi ist [This.GetTitledFirstName];;El nuevo Cadí Jefe es [This.GetTitledFirstName];;;;;;;;;x;
EVTOPTB105021;I see no reason to dismiss the current Chief Justice;Je ne vois aucune raison de renvoyer l'actuel cadi;Ich sehe keinen Grund, den derzeitigen Ober-Kadi zu entlassen ;;No veo ninguna razón para despedir al actual Cadí Jefe;;;;;;;;;x;
EVTTOOLTIP105023;is disappointed [Root.GetTitledFirstName] did not follow [This.GetHerHis] recommendation for Chief Justice;trouve dommage que [Root.GetTitledFirstName] n'ait pas écouté ses recommandations;ist enttäuscht, dass [Root.GetTitledFirstName] nicht [This.GetHerHis] Rat für den Ober-Kadi gefolgt ist;;está decepcionado porque [Root.GetTitledFirstName] no siguió su recomendación para Cadí Jefe;;;;;;;;;x;
EVTOPTC105021;I agree, you would make a better Chief Justice;Je suis d'accord, vous ferez un meilleur cadi;Ich stimme zu, Ihr würdet ein besserer Ober-Kadi sein ;;¡Estoy de acuerdo, serás mejor Cadí Jefe!;;;;;;;;;x;
EVTOPTE105021;This vassal of mine would make a better Chief Justice;Mon vassal ferait un bien meilleur cadi;Dieser Vasall von mir, würde einen besseren Ober-Kadi darstellen ;;Este vasallo mío sería un mejor Cadí Jefe;;;;;;;;;x;


EVTDESC105023;The current Chief Justice is such a disastrous choice, with his arbitrary judgements and insufficient knowledge of the Constitution, that I had to suggest a new candidate for this position. [From.GetTitledFirstName] would make a much better Chief Justice and so I told [Root.Liege.GetTitledFirstName] and waited with bated breath as [Root.Liege.GetTitledFirstName] pondered this.;L'actuel cadi est un désastre ambulant, ses jugements arbitraires et sa méconnaissance des lois m'ont poussé à suggérer un nouveau candidat pour occuper cette fonction. [From.GetTitledFirstName] ferait un bien meilleur cadi, j'en ai donc parlé à [Root.Liege.GetTitledFirstName] et j'ai attendu avec angoisse que [Root.Liege.GetTitledFirstName] prenne une décision.;Der derzeitige Ober-Kadi ist so eine desaströse Wahl, mit seinen willkürlichen Urteilen und seinem unzureichendem Wissen über die Gesetze, dass ich einen neuen Kanidaten für diese Position vorschlagen musste. [From.GetTitledFirstName] würden einen viel besseren Ober-Kadi abgeben, und so schlug ich es [Root.Liege.GetTitledFirstName] vor und wartete mit angehaltenem Atem, als [Root.Liege.GetTitledFirstName] darüber nachdachte.;;El actual Cadí Jefe es una elección tan desastrosa, con sus elecciones tan arbitrarias y su insuficiente conocimiento sobre las leyes, que he debido sugerir un nuevo candidato para el cargo.  [From.GetTitledFirstName] sería un Cadí Jefe mucho mejor y así se lo hice saber a [Root.Liege.GetTitledFirstName] y esperé con el aliento contenido mientras ?[Root.Liege.GetTitledFirstName] lo pensaba.;;;;;;;;;x;
EVTOPTA105023;[From.GetTitledFirstName] is the new Chief Justice! Praise [Root.Religion.GetRandomGodName]!;[From.GetTitledFirstName] est le nouveau cadi ! [Root.Religion.GetRandomGodName] est grand !;[From.GetTitledFirstName] ist der neue Ober-Kadi! Gepriesen sei [Root.Religion.GetRandomGodName]! ;;¡??[From.GetTitledFirstName] es el nuevo Caí Jefe Alabado sea Alá!;;;;;;;;;x;
EVTOPTB105023;I was dismissed and told not to interfere in this matter again;J'ai été renvoyé et on m'a demandé de ne plus jamais me mêler des affaires de justice;Ich wurde entlassen und mir wurde gesagt, ich solle mich in diese Angelegenheit nicht mehr einmischen ;;Descartó mi opinión y me dijo que no volviera a meterme en el asunto.;;;;;;;;;x;
EVTDESC105024;I inadvertently insulted the old Chief Justice when I suggested that I would make better judgements than [FromFrom.GetSheHe] and knew the Constitution much better than [FromFrom.GetHerHim], but I saw no other way to get rid of [FromFrom.GetHerHim]. After all, it was [From.GetTitledFirstName] who would judge if I was a better person for the position than the hopefully soon former Chief Justice.;J'ai malencontreusement insulté le vieux cadi en affirmant que je serais capable de faire mieux à son poste et que je connaissais les lois mieux que lui, mais c'était le seul moyen de m'en débarrasser. Après tout, c'est [From.GetTitledFirstName] qui a émis l'idée que je serais parfait pour cette fonction et que je pourrais remplacer le futur ancien cadi.;Ich beleidigte den alten Ober-Kadi versehentlich, als ich vorschlug, dass ich bessere Urteile als er fällen würde und die Gesetze besser kennen würde als er, aber ich sah keine andere Möglichkeit, ihn loszuwerden. Schließlich war es [From.GetTitledFirstName], der entscheiden würde, ob ich für diese Position besser wäre, als der hoffentlich baldige ehemaliger Ober-Kadi. ;;Inadvertidamente insulté al viejo Cadí Jefe cuando le sugerí que haría mejores elecciones que él y que conocías las leyes mucho mejor que él, pero no vi otra forma de librarme de él. Después de todo, era ??[From.GetTitledFirstName] quien decidiría si yo era una mejor persona para que próximamente, eso espero, ex-Cadí Jefe.;;;;;;;;;x;
EVTDESC105025;May [FromFrom.GetTitledFirstName] be hit with sixty shoes! That son of a dog coaxed [From.GetTitledFirstName] into revoking my title as Chief Justice!;Que [FromFrom.GetTitledFirstName] soit maudit ! Ce fils de chien a réussi à convaincre [From.GetTitledFirstName] de me renvoyer du poste de cadi !;Möge [FromFrom.GetTitledFirstName] mit sechzig Schuhen getreten werden! Dieser Hundesohn hat [From.GetTitledFirstName] dazu gebracht, mir meinen Titel als Ober-Kadi abzuerkennen! ;;¡Que [FromFrom.GetTitledFirstName] sea golpeado con sesenta zapatos! ¡Ese hijo de perra engatusó a [From.GetTitledFirstName] para que me revocara el título de Cadí Jefe!;;;;;;;;;x;
EVTOPTA105025;May [Root.Religion.GetRandomGodName] destroy [FromFrom.GetTitledFirstName]'s house!;Que la colère d'[Root.Religion.GetRandomGodName] s'abatte sur la maison de [FromFrom.GetTitledFirstName] ! ;Möge [Root.Religion.GetRandomGodName] [FromFrom.GetTitledFirstName]s Haus zerstören! ;;¡Que Alá destruya la casa de [FromFrom.GetTitledFirstName]!;;;;;;;;;x;
