#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
BM_FIAT_HOMO;Fiat Homo;;;;;;;;;;;;;x
BM_FIAT_HOMO_DESC;The world suffered tremendously from the Event, but did not die out completely. Although scarred, the Earth still provides home for humanity. Now, in the midst of the 27th century, one part of the world is beginning to organize themselves, to rebuild and expand outward. Driven by greed, by righteousness, by bloodlust and by all the sins and virtues, rulers and adventurers will reshape the world. Let there be man!;;;;;;;;;;;;;x
northanglo;North Anglo;;;;;;;;;;;;;x
southanglo;South Anglo;;;;;;;;;;;;;x
amerodeutsch;Amerodeutsch;;;;;;;;;;;;;x
caribbean;Caribbean;;;;;;;;;;;;;x
gothamite;Gothamite;;;;;;;;;;;;;x
hudsonian;Hudsonian;;;;;;;;;;;;;x
delawarean;Delawarean;;;;;;;;;;;;;x
newenglander;Yankee;;;;;;;;;;;;;x
deitsch;Deitsch;;;;;;;;;;;;;x
beltway;Beltway;;;;;;;;;;;;;x
southron;Southron;;;;;;;;;;;;;x
appalachian;Appalachian;;;;;;;;;;;;;x
rustbelt;Rostmann;;;;;;;;;;;;;x
afroanglo;Afro-Anglo;;;;;;;;;;;;;x
tuskegean;Tuskegean;;;;;;;;;;;;;x
melungeon;Melungeon;;;;;;;;;;;;;x
deepsouth;Deep Southron;;;;;;;;;;;;;x
lacustrine;Lacustrine;;;;;;;;;;;;;x
chicagoan;Chicagoan;;;;;;;;;;;;;x
dellsman;Dellsman;;;;;;;;;;;;;x
nord;Nord;;;;;;;;;;;;;x
cajun;Cajun;;;;;;;;;;;;;x
haitian;Haitian;;;;;;;;;;;;;x
maritimer;Maritimer;;;;;;;;;;;;;x
yooper;Yooper;;;;;;;;;;;;;x
riverlander;Riverlander;;;;;;;;;;;;;x
gallomerican;Gallomerican;;;;;;;;;;;;;x
quebecois;Quebecois;;;;;;;;;;;;;x
gulfard;Gulfard;;;;;;;;;;;;;x
cubano;Cubano;;;;;;;;;;;;;x
domincan;Dominican;;;;;;;;;;;;;x
puerto_rican;Puerto Rican;;;;;;;;;;;;;x
anglo_caribbean;Anglo-Caribbean;;;;;;;;;;;;;x
grangelander;Grangelander;;;;;;;;;;;;;x
anabaptist;Anabaptist;;;;;;;;;;;;;x
evangelical;Evangelical;;;;;;;;;;;;;x
high_church;High Church;;;;;;;;;;;;;x
dark_pagan_group;Dark Pagan;;;;;;;;;;;;;x
occultist;Occultist;;;;;;;;;;;;;x
atomicist;Atomicist;;;;;;;;;;;;;x
civilized_pagan;Civilized Pagan;;;;;;;;;;;;;x
americanist;Americanist;;;;;;;;;;;;;x
machine_cultist;Rust Cultist;;;;;;;;;;;;;x
norse_pagan;Norse;;;;;;;;;;;;;x
rastafarian;Rastafarian;;;;;;;;;;;;;x
rastafarian_desc;Rastafarians worship Emperor Haile Selassie I of Ethiopia, also known as Ras Tafari Makonnen.;;;;;;;;;;;;;x
voodoo;Vodou;;;;;;;;;;;;;x
temple_emperor_americanist;Supreme Judge;;;;;;;;;;;;;x
temple_king_americanist;Lord Attorney;;;;;;;;;;;;;x
temple_duke_americanist;High Judge;;;;;;;;;;;;;x
temple_count_americanist;Lord Judge;;;;;;;;;;;;;x
temple_voodoo;Hounfour;;;;;;;;;;;;;x
THE_PAPERS;The Founders' Papers;;;;;;;;;;;;;x
JUDGE;Judge;;;;;;;;;;;;;x
TECHPRIEST;Tech-Priest;;;;;;;;;;;;;x
COLONEL;Colonel;;;;;;;;;;;;;x
COLONEL_FOA;Sir;;;;;;;;;;;;;x
GROUP_CAPTAIN;Group Captain;;;;;;;;;;;;;x
GROUP_CAPTAIN_FOA;Sir;;;;;;;;;;;;;x
CHIEF_FOREMAN;Chief Foreman;;;;;;;;;;;;;x
GRAND_COUNT;Grand Count;;;;;;;;;;;;;x
GRAND_COUNTESS;Grand Countess;;;;;;;;;;;;;x
GRAND_COUNTY_OF;Grand County of;;;;;;;;;;;;;x
UNIGOV_OF;Unigov of;;;;;;;;;;;;;x
GRAND_DIVISION_OF;Grand Division of;;;;;;;;;;;;;x
PARISH_OF;Parish of;;;;;;;;;;;;;x
DISTRICT_OF;District of;;;;;;;;;;;;;x
GOD_THE_FOUNDING_FATHERS;The Founding Fathers;;;;;;;;;;;;;x
GOD_THE_FOUNDERS;The Founders;;;;;;;;;;;;;x
GOD_WASHINGTON;Washington;;;;;;;;;;;;;x
GOD_JEFFERSON;Jefferson;;;;;;;;;;;;;x
GOD_THE_FLAG;The Flag;;;;;;;;;;;;;x
GOD_ADAMS;Adams;;;;;;;;;;;;;x
GOD_MADISON;Madison;;;;;;;;;;;;;x
GOD_FAT_MAN;Fat Man;;;;;;;;;;;;;x
GOD_LITTLE_BOY;Little Boy;;;;;;;;;;;;;x
GOD_ATOMOS;Atomos;;;;;;;;;;;;;x
GOD_THE_ELEMENTS;The Elements;;;;;;;;;;;;;x
GOD_FATHER_FORD;Father Ford;;;;;;;;;;;;;x
GOD_THE_MACHINE_SPIRITS;The Machine Spirits;;;;;;;;;;;;;x
GOD_OMNISSIAH;Omnissiah;;;;;;;;;;;;;x
GOD_VULCAN;Vulcan;;;;;;;;;;;;;x
GOD_FATHER_BESSEMER;Father Bessemer;;;;;;;;;;;;;x
GOD_JAH;Jah;;;;;;;;;;;;;x
GOD_SELASSIE;Haile Selassie I;;;;;;;;;;;;;x
GOD_RASTAFARI;Ras Tafari;;;;;;;;;;;;;x
BABYLON;Babylon;;;;;;;;;;;;;x
BAG_O_WIRE;Bag o' Wire;;;;;;;;;;;;;x
THE_LORD_OF_RUST;The Lord of Rust;;;;;;;;;;;;;x
THE_DARK_VIRUS;The Dark Virus;;;;;;;;;;;;;x
THE_CONSUMING_TARNISH;The Consuming Tarnish;;;;;;;;;;;;;x
HE_WHO_RUSTS;He-Who-Rusts;;;;;;;;;;;;;x
THE_DEMON_CORE;The Demon Core;;;;;;;;;;;;;x
THE_VOID;The Void;;;;;;;;;;;;;x
COMMUNISM;Communism;;;;;;;;;;;;;x
THE_FREEMASONS;The Freemasons;;;;;;;;;;;;;x
AGENDA_TWENTYONE;Agenda 21;;;;;;;;;;;;;x
FLUORIDATION;Fluoridation;;;;;;;;;;;;;x
REL_PENTARCHS;Ecumenical Council Seats;;;;;;;;;;;;;x
REL_PENTARCHS_DESC;'Evangelical' is a very broad term, and the faith is generally supported by a national council of bishops representing various doctrines. Five seats are traditionally reserved for specific bishops with a longstanding tradition of evangelism, but in these dark times not all seats are claimed at any certain time.;;;;;;;;;;;;;x
REL_PENTARCHS_NON_ORTHODOX_DESC;The Ecumenical Council Seats were for the original five bishops of the Evangelical Convention. Their authority as Presiding Bishops over their respective ancient sees is still recognized within the $RELIGION$ church.;Les Pentarques étaient à l'origine les cinq Patriarches de l'Eglise Chrétienne. Leur autorité en tant que Patriarches Autocéphales sur leurs églises respectives est toujours reconnue par l'église $RELIGION$ church.;Die Pentarchie waren die fünf Patriarchate der frühchristlichen Kirche. Ihre Authorität innerhalb ihrer Stammsitze ist innerhalb der $RELIGION$en Kirche noch immer anerkannt.;;Los Pentarcas fueron los cinco Patriarcas originales del Cristianismo. Su autoridad como Patriarcas autocéfalos sobre sus antiguas sedes es todavía reconocida por la religión $RELIGION$.;;;;;;;;;x
PENTARCH_DESC;There is currently no $RELIGION$ Bishop of §Y$TITLE$§!;Il n'y a pour l'instant aucun évêque $RELIGION$ de §Y$TITLE$§!;Derzeit gibt es keinen $RELIGION$en Bischof von §Y$TITLE$§!;;Actualmente no hay un obispo $RELIGION$ en §Y$TITLE$§!;;;;;;;;;x
HEAD_NOT_PENTARCH_DESC;$REL_HEAD$ does not currently hold §Y$TITLE$§!;$REL_HEAD$ ne détient par pour l'instant §Y$TITLE$§!;$REL_HEAD$ regiert derzeit nicht §Y$TITLE$§!;;$REL_HEAD$ no posee actualmente §Y$TITLE$§!;;;;;;;;;x
PATRIARCHATE_TITLE;Convention of $TITLE$;;;;;;;;;;;;;x
AUTOCEPHALY_DRO;Apart from the original five members of the evangelical convention - the reserved seats of the Ecumenical Council - all other $RELIGION$ kingdoms or empires also have their own Presiding Bishops. The Court Chaplain of such a kingdom or empire is also considered the Presiding Bishop of that realm. He will always do what his liege asks of him, but only the $REL_HEAD_TITLE$ can grant the Invasion Casus Belli. Each autocephalous bishop controls Excommunication within their respective realm.;;;;;;;;;;;;;x
AUTOCEPHALOUS_PATRIARCHS;Autocephalous Bishops;;;;;;;;;;;;;x
AUTOCEPHALOUS_REL_HEAD_TITLE;Presiding Bishop;;Präsidierende Bischofschaft;;;;;;;;;;;x;;
COUNCIL_PRESIDENT;Council President;;;;;;;;;;;;;x
