#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
redcoats.1.name;The two lights of Old North Church;;;;;;;;;;;;;x
redcoats.1.desc;Two lights have recently been spotted shining in the steeple of Boston's Old North Church, one of the few pre-cataclysmic churches still standing. There's an ancient tale about that, but I can't remember what it is...;;;;;;;;;;;;;x
redcoats.1.optA;It was just a children's story, anyways.;;;;;;;;;;;;;x
redcoats.2.name;The British are coming!;;;;;;;;;;;;;x
redcoats.2.desc;A fleet has appeared in Cape Cod, full of men wearing red jackets. They claim to have sailed from the far side of the ocean, and seek to bring the world we know under the rule of 'the one we call Queen, for human mouths cannot voice her true name'.;;;;;;;;;;;;;x
redcoats.2.optA;Ia! Ia! On her throne in the White Hall, the Queen yet dreams.;;;;;;;;;;;;;x
redcoats.2.optB;Perfidious Albion shall not triumph!;;;;;;;;;;;;;x
redcoats.2.optC;Not again! Not now!;;;;;;;;;;;;;x
redcoats.3.name;British reinforcements;;;;;;;;;;;;;x
redcoats.3.desc;More troops have sailed from that dark land across the sea, to strengthen the Redcoats here.;;;;;;;;;;;;;x
redcoats.4.name;The Redcoats become Catholic;;;;;;;;;;;;;x
redcoats.4.desc;Following years of conquest, the faith of locals has become the faith of the British occupiers.;;;;;;;;;;;;;x
redcoats.4.optC;At least there'll be no more sacrifices now.;;;;;;;;;;;;;x
redcoats.5.name;The Redcoats turn to the High Church;;;;;;;;;;;;;x
redcoats.5.desc;Due to the influence of local adherents, the British have returned to the Christian faith of their ancestors.;;;;;;;;;;;;;x
redcoats.5.optC;At least there'll be no more sacrifices now.;;;;;;;;;;;;;x
redcoats.6.name;Redcoats sack Washington!;;;;;;;;;;;;;x
redcoats.6.desc;Hordes of perfidious Brits have put the capital of Old America to the torch!;;;;;;;;;;;;;x
redcoats.6.optA;I hope our realm isn't next...;;;;;;;;;;;;;x
redcoats.6.optB;Washington shall be avenged!;;;;;;;;;;;;;x
EVTNAMECONSUMER1;The Rise of Consumerism;;;;;;;;;;;;;x
EVTDESCCONSUMER1;A prophet has arisen, proclaiming that the Old World was struck down, not by Jesus, the Atom, or the Founding Fathers, but by the Almighty Dollar for neglecting the temples they called Malls, improperly performing the ritual of the Shopping, and not giving Him tribute for every new Product he created, and that He will soon destroy the world again unless all Americans follow these rites. Many have came before him, preaching similar doctrines but attracting few followers, for the ruins of Old America are littered with books and signs advertising marvelous products that will cure all ills and bring true happiness. But this prophet's oratory has given him tens of thousands of followers, who are now spreading their faith across America by his words and by the sword.;;;;;;;;;;;;;x
EVTOPTACONSUMER1;For the Dollar!;;;;;;;;;;;;;x
EVTOPTBCONSUMER1;A worrying development...;;;;;;;;;;;;;x
CONSUMERIST_REVOLT;Consumerist Rising;;;;;;;;;;;;;x
CB_NAME_CONSUMERIST_RISING;Consumerist Rising in [Title.GetBaseName];;;;;;;;;;;;;x
WAR_NAME_CONSUMERIST_RISING;$ORDER$Consumerist Rising in [Title.GetBaseName];;;;;;;;;;;;;x
