#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV1;Long Island;;;;;;;;;;;;;x
PROV2;Brooklyn;;;;;;;;;;;;;x
PROV3;Manhattan;;;;;;;;;;;;;x
PROV4;Palisades;;;;;;;;;;;;;x
PROV5;Newburgh;;;;;;;;;;;;;x
PROV6;Poughkeepsie;;;;;;;;;;;;;x
PROV7;Woodstock;;;;;;;;;;;;;x
PROV8;Hudson;;;;;;;;;;;;;x
PROV9;Troy;;;;;;;;;;;;;x
PROV10;Albany;;;;;;;;;;;;;x
PROV11;Black River;;;;;;;;;;;;;x
PROV12;Saratoga;;;;;;;;;;;;;x
PROV13;Johnstown;;;;;;;;;;;;;x
PROV14;Syracuse;;;;;;;;;;;;;x
PROV15;Oswego;;;;;;;;;;;;;x
PROV16;Rochester;;;;;;;;;;;;;x
PROV17;Buffalo;;;;;;;;;;;;;x
PROV18;Shawangunk;;;;;;;;;;;;;x
PROV19;Otsego;;;;;;;;;;;;;x
PROV20;Schoharie;;;;;;;;;;;;;x
PROV21;Cortland;;;;;;;;;;;;;x
PROV22;Kittatinny;;;;;;;;;;;;;x
PROV23;Trenton;;;;;;;;;;;;;x
PROV24;Monmouth;;;;;;;;;;;;;x
PROV25;Jersey Shore;;;;;;;;;;;;;x
PROV26;Vineland;;;;;;;;;;;;;x
PROV27;Philadelphia;;;;;;;;;;;;;x
PROV28;Chautauqua;;;;;;;;;;;;;x
PROV29;Genesee;;;;;;;;;;;;;x
PROV30;Canandaigua;;;;;;;;;;;;;x
PROV31;Canacdea;;;;;;;;;;;;;x
PROV32;Seneca;;;;;;;;;;;;;x
PROV33;Chemung;;;;;;;;;;;;;x
PROV34;The Triple Cities;;;;;;;;;;;;;x
PROV35;Watertown;;;;;;;;;;;;;x
PROV36;Raquette;;;;;;;;;;;;;x
PROV37;Big Moose;;;;;;;;;;;;;x
PROV38;Petonbowk;;;;;;;;;;;;;x
PROV39;Ticonderoga;;;;;;;;;;;;;x
PROV40;Chepontuc;;;;;;;;;;;;;x
PROV41;Bennington;;;;;;;;;;;;;x
PROV42;Rutland;;;;;;;;;;;;;x
PROV43;Montpelier;;;;;;;;;;;;;x
PROV44;Burlington;;;;;;;;;;;;;x
