From;To;Type;Through;-1;-1;-1;-1;Comment
2;3;sea;2110;-1;-1;-1;-1;Brooklyn-Manhattan
187;1010;sea;2124;-1;-1;-1;-1;Straits of Mackinac
3;4;major_river;2107;-1;-1;-1;-1;Manhattan-HudsonR-Palisades
3;5;major_river;2107;-1;-1;-1;-1;Manhattan-HudsonR-Newburgh
5;6;major_river;2107;-1;-1;-1;-1;Newburgh-HudsonR-Poughkeepsie
6;7;major_river;2107;-1;-1;-1;-1;Poughkeepsie-HudsonR-Woodstock
7;8;major_river;2107;-1;-1;-1;-1;Woodstock-HudsonR-Hudson
9;10;major_river;2107;-1;-1;-1;-1;Albany-HudsonR-Troy
12;41;major_river;2107;-1;-1;-1;-1;Bennington-HudsonR-Saratoga
10;12;major_river;2108;-1;-1;-1;-1;Albany-MohawkR-Saratoga
13;20;major_river;2108;-1;-1;-1;-1;Johnstown-MohawkR-Schoharie
13;21;major_river;2108;-1;-1;-1;-1;Johnstown-MohawkR-Cortland
13;14;major_river;2108;-1;-1;-1;-1;Johnstown-MohawkR-Syracuse
15;21;major_river;2109;-1;-1;-1;-1;Oswego-ErieC-Cortland
15;32;major_river;2109;-1;-1;-1;-1;Oswego-ErieC-Seneca
16;30;major_river;2109;-1;-1;-1;-1;Rochester-ErieC-Canandaigua
16;29;major_river;2109;-1;-1;-1;-1;Rochester-ErieC-Genesee
17;29;major_river;2109;-1;-1;-1;-1;Buffalo-ErieC-Genesee
17;28;major_river;2109;-1;-1;-1;-1;Buffalo-ErieC-Chautauqua
1018;1051;major_river;2116;-1;-1;-1;-1;Purchase-LowMiss-Girardeau
1014;1055;major_river;2117;-1;-1;-1;-1;Owensboro-LowOhio-Cairo
1014;1058;major_river;2117;-1;-1;-1;-1;Owensboro-LowOhio-Effingham
1014;1059;major_river;2117;-1;-1;-1;-1;Owensboro-LowOhio-Evansville
1017;1055;major_river;2117;-1;-1;-1;-1;Purchase-LowOhio-Cairo
1018;1055;major_river;2117;-1;-1;-1;-1;Mineral Mound-LowOhio-Cairo
1009;1060;major_river;2118;-1;-1;-1;-1;Louisville-MidOhio-Hoosier
1009;1061;major_river;2118;-1;-1;-1;-1;Louisville-MidOhio-Versailles
122;1061;major_river;2118;-1;-1;-1;-1;Covington-MidOhio-Versailles
1013;1060;major_river;2118;-1;-1;-1;-1;Rough River-MidOhio-Hoosier
116;122;major_river;2119;-1;-1;-1;-1;Scioto-UpperOhioR-Covington
116;1003;major_river;2119;-1;-1;-1;-1;Scioto-UpperOhioR-Greenbo
116;1006;major_river;2119;-1;-1;-1;-1;Scioto-UpperOhioR-BlueLicks
121;122;major_river;2119;-1;-1;-1;-1;Cincinnati-Covington-Ohio
1051;1055;major_river;2141;-1;-1;-1;-1;Cape Girardeau-Chain of Rocks-Cairo
1050;1056;major_river;2141;-1;-1;-1;-1;St Louis-Chain of Rocks-Kaskasia
2108;2109;portage;14;-1;-1;-1;-1;Erie Crossing
130;131;sea;2106;-1;-1;-1;-1;Carteret-Hatteras
-1;-1;;-1;-1;-1;-1;-1;-1
